Dates,BCOM Index_Last,BCOM Index_Open,BCOM Index_High,BCOM Index_Low
1992-12-31,89.3243,89.3243,89.3243,89.3243
1993-01-01,89.3243,89.3243,89.3243,89.3243
1993-01-04,88.508,88.508,88.508,88.508
1993-01-05,88.8323,88.8323,88.8323,88.8323
1993-01-06,88.6087,88.6087,88.6087,88.6087
1993-01-07,88.814,88.814,88.814,88.814
1993-01-08,88.7712,88.7712,88.7712,88.7712
1993-01-11,88.7036,88.7036,88.7036,88.7036
1993-01-12,87.9662,87.9662,87.9662,87.9662
1993-01-13,88.2366,88.2366,88.2366,88.2366
1993-01-14,88.3174,88.3174,88.3174,88.3174
1993-01-15,88.4367,88.4367,88.4367,88.4367
1993-01-18,88.4367,88.4367,88.4367,88.4367
1993-01-19,88.21,88.21,88.21,88.21
1993-01-20,87.9675,87.9675,87.9675,87.9675
1993-01-21,88.1597,88.1597,88.1597,88.1597
1993-01-22,88.0406,88.0406,88.0406,88.0406
1993-01-25,88.4703,88.4703,88.4703,88.4703
1993-01-26,88.5704,88.5704,88.5704,88.5704
1993-01-27,88.5548,88.5548,88.5548,88.5548
1993-01-28,89.2325,89.2325,89.2325,89.2325
1993-01-29,88.9376,88.9376,88.9376,88.9376
1993-02-01,89.1114,89.1114,89.1114,89.1114
1993-02-02,88.5111,88.5111,88.5111,88.5111
1993-02-03,88.5513,88.5513,88.5513,88.5513
1993-02-04,88.9408,88.9408,88.9408,88.9408
1993-02-05,88.8552,88.8552,88.8552,88.8552
1993-02-08,88.8461,88.8461,88.8461,88.8461
1993-02-09,88.9038,88.9038,88.9038,88.9038
1993-02-10,89.558,89.558,89.558,89.558
1993-02-11,89.5663,89.5663,89.5663,89.5663
1993-02-12,88.9265,88.9265,88.9265,88.9265
1993-02-15,88.9265,88.9265,88.9265,88.9265
1993-02-16,88.8712,88.8712,88.8712,88.8712
1993-02-17,88.7592,88.7592,88.7592,88.7592
1993-02-18,88.9187,88.9187,88.9187,88.9187
1993-02-19,89.0463,89.0463,89.0463,89.0463
1993-02-22,89.6919,89.6919,89.6919,89.6919
1993-02-23,89.9016,89.9016,89.9016,89.9016
1993-02-24,89.8215,89.8215,89.8215,89.8215
1993-02-25,89.7972,89.7972,89.7972,89.7972
1993-02-26,89.831,89.831,89.831,89.831
1993-03-01,89.5694,89.5694,89.5694,89.5694
1993-03-02,89.6379,89.6379,89.6379,89.6379
1993-03-03,89.6094,89.6094,89.6094,89.6094
1993-03-04,90.3033,90.3033,90.3033,90.3033
1993-03-05,90.0848,90.0848,90.0848,90.0848
1993-03-08,89.8594,89.8594,89.8594,89.8594
1993-03-09,90.013,90.013,90.013,90.013
1993-03-10,89.8466,89.8466,89.8466,89.8466
1993-03-11,89.649,89.649,89.649,89.649
1993-03-12,89.9055,89.9055,89.9055,89.9055
1993-03-15,90.165,90.165,90.165,90.165
1993-03-16,89.954,89.954,89.954,89.954
1993-03-17,90.2677,90.2677,90.2677,90.2677
1993-03-18,90.92,90.92,90.92,90.92
1993-03-19,91.1657,91.1657,91.1657,91.1657
1993-03-22,90.4345,90.4345,90.4345,90.4345
1993-03-23,90.7777,90.7777,90.7777,90.7777
1993-03-24,91.1863,91.1863,91.1863,91.1863
1993-03-25,91.3744,91.3744,91.3744,91.3744
1993-03-26,91.0589,91.0589,91.0589,91.0589
1993-03-29,91.069,91.069,91.069,91.069
1993-03-30,91.2306,91.2306,91.2306,91.2306
1993-03-31,91.7139,91.7139,91.7139,91.7139
1993-04-01,91.8254,91.8254,91.8254,91.8254
1993-04-02,92.0022,92.0022,92.0022,92.0022
1993-04-05,91.8044,91.8044,91.8044,91.8044
1993-04-06,91.0607,91.0607,91.0607,91.0607
1993-04-07,90.9534,90.9534,90.9534,90.9534
1993-04-08,91.1362,91.1362,91.1362,91.1362
1993-04-09,91.1362,91.1362,91.1362,91.1362
1993-04-12,91.851,91.851,91.851,91.851
1993-04-13,92.0072,92.0072,92.0072,92.0072
1993-04-14,91.9181,91.9181,91.9181,91.9181
1993-04-15,91.2232,91.2232,91.2232,91.2232
1993-04-16,90.707,90.707,90.707,90.707
1993-04-19,90.6619,90.6619,90.6619,90.6619
1993-04-20,90.7055,90.7055,90.7055,90.7055
1993-04-21,90.9592,90.9592,90.9592,90.9592
1993-04-22,91.0327,91.0327,91.0327,91.0327
1993-04-23,91.5087,91.5087,91.5087,91.5087
1993-04-26,91.8903,91.8903,91.8903,91.8903
1993-04-27,91.6409,91.6409,91.6409,91.6409
1993-04-28,91.4833,91.4833,91.4833,91.4833
1993-04-29,92.1397,92.1397,92.1397,92.1397
1993-04-30,92.3398,92.3398,92.3398,92.3398
1993-05-03,91.9299,91.9299,91.9299,91.9299
1993-05-04,91.3257,91.3257,91.3257,91.3257
1993-05-05,91.282,91.282,91.282,91.282
1993-05-06,91.2352,91.2352,91.2352,91.2352
1993-05-07,91.1578,91.1578,91.1578,91.1578
1993-05-10,90.787,90.787,90.787,90.787
1993-05-11,91.0698,91.0698,91.0698,91.0698
1993-05-12,91.3878,91.3878,91.3878,91.3878
1993-05-13,91.2619,91.2619,91.2619,91.2619
1993-05-14,90.8274,90.8274,90.8274,90.8274
1993-05-17,90.7496,90.7496,90.7496,90.7496
1993-05-18,91.1375,91.1375,91.1375,91.1375
1993-05-19,90.6565,90.6565,90.6565,90.6565
1993-05-20,91.2189,91.2189,91.2189,91.2189
1993-05-21,91.3354,91.3354,91.3354,91.3354
1993-05-24,90.1999,90.1999,90.1999,90.1999
1993-05-25,90.8393,90.8393,90.8393,90.8393
1993-05-26,90.6396,90.6396,90.6396,90.6396
1993-05-27,90.5847,90.5847,90.5847,90.5847
1993-05-28,90.4797,90.4797,90.4797,90.4797
1993-05-31,90.4797,90.4797,90.4797,90.4797
1993-06-01,89.7765,89.7765,89.7765,89.7765
1993-06-02,89.396,89.396,89.396,89.396
1993-06-03,89.444,89.444,89.444,89.444
1993-06-04,89.4861,89.4861,89.4861,89.4861
1993-06-07,89.0715,89.0715,89.0715,89.0715
1993-06-08,89.2462,89.2462,89.2462,89.2462
1993-06-09,89.2943,89.2943,89.2943,89.2943
1993-06-10,88.6591,88.6591,88.6591,88.6591
