Dates,BCOMTR Index_Last,BCOMTR Index_Open,BCOMTR Index_High,BCOMTR Index_Low
1992-12-31,97.736,97.736,97.736,97.736
1993-01-01,97.736,97.736,97.736,97.736
1993-01-04,96.877,96.877,96.877,96.877
1993-01-05,97.24,97.24,97.24,97.24
1993-01-06,97.004,97.004,97.004,97.004
1993-01-07,97.237,97.237,97.237,97.237
1993-01-08,97.199,97.199,97.199,97.199
1993-01-11,97.149,97.149,97.149,97.149
1993-01-12,96.35,96.35,96.35,96.35
1993-01-13,96.654,96.654,96.654,96.654
1993-01-14,96.751,96.751,96.751,96.751
1993-01-15,96.89,96.89,96.89,96.89
1993-01-18,96.89,96.89,96.89,96.89
1993-01-19,96.675,96.675,96.675,96.675
1993-01-20,96.417,96.417,96.417,96.417
1993-01-21,96.636,96.636,96.636,96.636
1993-01-22,96.514,96.514,96.514,96.514
1993-01-25,97.009,97.009,97.009,97.009
1993-01-26,97.127,97.127,97.127,97.127
1993-01-27,97.118,97.118,97.118,97.118
1993-01-28,97.869,97.869,97.869,97.869
1993-01-29,97.553,97.553,97.553,97.553
1993-02-01,97.768,97.768,97.768,97.768
1993-02-02,97.117,97.117,97.117,97.117
1993-02-03,97.169,97.169,97.169,97.169
1993-02-04,97.605,97.605,97.605,97.605
1993-02-05,97.519,97.519,97.519,97.519
1993-02-08,97.532,97.532,97.532,97.532
1993-02-09,97.604,97.604,97.604,97.604
1993-02-10,98.33,98.33,98.33,98.33
1993-02-11,98.347,98.347,98.347,98.347
1993-02-12,97.652,97.652,97.652,97.652
1993-02-15,97.652,97.652,97.652,97.652
1993-02-16,97.623,97.623,97.623,97.623
1993-02-17,97.508,97.508,97.508,97.508
1993-02-18,97.692,97.692,97.692,97.692
1993-02-19,97.84,97.84,97.84,97.84
1993-02-22,98.573,98.573,98.573,98.573
1993-02-23,98.811,98.811,98.811,98.811
1993-02-24,98.731,98.731,98.731,98.731
1993-02-25,98.713,98.713,98.713,98.713
1993-02-26,98.758,98.758,98.758,98.758
1993-03-01,98.495,98.495,98.495,98.495
1993-03-02,98.578,98.578,98.578,98.578
1993-03-03,98.555,98.555,98.555,98.555
1993-03-04,99.326,99.326,99.326,99.326
1993-03-05,99.094,99.094,99.094,99.094
1993-03-08,98.87,98.87,98.87,98.87
1993-03-09,99.048,99.048,99.048,99.048
1993-03-10,98.873,98.873,98.873,98.873
1993-03-11,98.664,98.664,98.664,98.664
1993-03-12,98.954,98.954,98.954,98.954
1993-03-15,99.264,99.264,99.264,99.264
1993-03-16,99.04,99.04,99.04,99.04
1993-03-17,99.394,99.394,99.394,99.394
1993-03-18,100.121,100.121,100.121,100.121
1993-03-19,100.399,100.399,100.399,100.399
1993-03-22,99.619,99.619,99.619,99.619
1993-03-23,100.005,100.005,100.005,100.005
1993-03-24,100.464,100.464,100.464,100.464
1993-03-25,100.679,100.679,100.679,100.679
1993-03-26,100.34,100.34,100.34,100.34
1993-03-29,100.375,100.375,100.375,100.375
1993-03-30,100.562,100.562,100.562,100.562
1993-03-31,101.103,101.103,101.103,101.103
1993-04-01,101.234,101.234,101.234,101.234
1993-04-02,101.437,101.437,101.437,101.437
1993-04-05,101.244,101.244,101.244,101.244
1993-04-06,100.432,100.432,100.432,100.432
1993-04-07,100.321,100.321,100.321,100.321
1993-04-08,100.531,100.531,100.531,100.531
1993-04-09,100.531,100.531,100.531,100.531
1993-04-12,101.352,101.352,101.352,101.352
1993-04-13,101.533,101.533,101.533,101.533
1993-04-14,101.442,101.442,101.442,101.442
1993-04-15,100.684,100.684,100.684,100.684
1993-04-16,100.122,100.122,100.122,100.122
1993-04-19,100.096,100.096,100.096,100.096
1993-04-20,100.152,100.152,100.152,100.152
1993-04-21,100.44,100.44,100.44,100.44
1993-04-22,100.529,100.529,100.529,100.529
1993-04-23,101.063,101.063,101.063,101.063
1993-04-26,101.508,101.508,101.508,101.508
1993-04-27,101.241,101.241,101.241,101.241
1993-04-28,101.075,101.075,101.075,101.075
1993-04-29,101.808,101.808,101.808,101.808
1993-04-30,102.037,102.037,102.037,102.037
1993-05-03,101.609,101.609,101.609,101.609
1993-05-04,100.949,100.949,100.949,100.949
1993-05-05,100.909,100.909,100.909,100.909
1993-05-06,100.865,100.865,100.865,100.865
1993-05-07,100.788,100.788,100.788,100.788
1993-05-10,100.402,100.402,100.402,100.402
1993-05-11,100.723,100.723,100.723,100.723
1993-05-12,101.082,101.082,101.082,101.082
1993-05-13,100.951,100.951,100.951,100.951
1993-05-14,100.479,100.479,100.479,100.479
1993-05-17,100.417,100.417,100.417,100.417
1993-05-18,100.854,100.854,100.854,100.854
1993-05-19,100.33,100.33,100.33,100.33
1993-05-20,100.961,100.961,100.961,100.961
1993-05-21,101.099,101.099,101.099,101.099
1993-05-24,99.867,99.867,99.867,99.867
1993-05-25,100.583,100.583,100.583,100.583
1993-05-26,100.371,100.371,100.371,100.371
1993-05-27,100.319,100.319,100.319,100.319
1993-05-28,100.211,100.211,100.211,100.211
1993-05-31,100.211,100.211,100.211,100.211
1993-06-01,99.466,99.466,99.466,99.466
1993-06-02,99.053,99.053,99.053,99.053
1993-06-03,99.115,99.115,99.115,99.115
1993-06-04,99.17,99.17,99.17,99.17
1993-06-07,98.736,98.736,98.736,98.736
1993-06-08,98.938,98.938,98.938,98.938
1993-06-09,99,99,99,99
1993-06-10,98.304,98.304,98.304,98.304
1993-06-11,97.68,97.68,97.68,97.68
1993-06-14,97.613,97.613,97.613,97.613
1993-06-15,97.227,97.227,97.227,97.227
1993-06-16,97.582,97.582,97.582,97.582
1993-06-17,98.232,98.232,98.232,98.232
1993-06-18,98.497,98.497,98.497,98.497
1993-06-21,98.624,98.624,98.624,98.624
1993-06-22,98.116,98.116,98.116,98.116
1993-06-23,98.692,98.692,98.692,98.692
1993-06-24,98.874,98.874,98.874,98.874
1993-06-25,98.878,98.878,98.878,98.878
1993-06-28,99.049,99.049,99.049,99.049
1993-06-29,99.282,99.282,99.282,99.282
1993-06-30,99.888,99.888,99.888,99.888
1993-07-01,100.271,100.271,100.271,100.271
1993-07-02,100.404,100.404,100.404,100.404
1993-07-05,100.404,100.404,100.404,100.404
1993-07-06,102.328,102.328,102.328,102.328
1993-07-07,102.362,102.362,102.362,102.362
1993-07-08,101.665,101.665,101.665,101.665
1993-07-09,101.745,101.745,101.745,101.745
1993-07-12,101.146,101.146,101.146,101.146
1993-07-13,100.863,100.863,100.863,100.863
1993-07-14,100.076,100.076,100.076,100.076
1993-07-15,100.085,100.085,100.085,100.085
1993-07-16,100.018,100.018,100.018,100.018
1993-07-19,101.176,101.176,101.176,101.176
1993-07-20,100.582,100.582,100.582,100.582
1993-07-21,100.474,100.474,100.474,100.474
1993-07-22,100.501,100.501,100.501,100.501
1993-07-23,100.841,100.841,100.841,100.841
1993-07-26,101.036,101.036,101.036,101.036
1993-07-27,101.464,101.464,101.464,101.464
1993-07-28,101.231,101.231,101.231,101.231
1993-07-29,101.488,101.488,101.488,101.488
1993-07-30,101.609,101.609,101.609,101.609
1993-08-02,102.34,102.34,102.34,102.34
1993-08-03,102.179,102.179,102.179,102.179
1993-08-04,101.692,101.692,101.692,101.692
1993-08-05,99.884,99.884,99.884,99.884
1993-08-06,99.3,99.3,99.3,99.3
1993-08-09,99.354,99.354,99.354,99.354
1993-08-10,99.382,99.382,99.382,99.382
1993-08-11,99.685,99.685,99.685,99.685
1993-08-12,99.013,99.013,99.013,99.013
1993-08-13,99.232,99.232,99.232,99.232
1993-08-16,99.397,99.397,99.397,99.397
1993-08-17,99.543,99.543,99.543,99.543
1993-08-18,99.33,99.33,99.33,99.33
1993-08-19,99.377,99.377,99.377,99.377
