Dates,CO1 Comdty_Last,CO1 Comdty_Open,CO1 Comdty_High,CO1 Comdty_Low
1992-12-31,18.29,18.34,18.34,18.24
1993-01-01,18.29,18.34,18.34,18.24
1993-01-04,17.79,18.2,18.21,17.78
1993-01-05,17.97,17.7,17.99,17.7
1993-01-06,17.75,17.75,17.84,17.64
1993-01-07,17.58,17.75,17.88,17.55
1993-01-08,17.48,17.54,17.75,17.47
1993-01-11,17.42,17.55,17.72,17.4
1993-01-12,17.01,17.42,17.43,16.98
1993-01-13,17.06,17,17.4,16.82
1993-01-14,17.23,17.1,17.24,16.98
1993-01-15,17.5,17.52,17.64,17.45
1993-01-18,17.46,17.63,17.75,17.38
1993-01-19,17.19,17.45,17.45,17.17
1993-01-20,16.97,17,17.13,16.87
1993-01-21,17.42,17,17.43,17
1993-01-22,17.31,17.4,17.49,17.3
1993-01-25,18.07,17.45,18.09,17.45
1993-01-26,18.03,17.98,18.17,17.89
1993-01-27,18.03,18.05,18.08,17.86
1993-01-28,18.62,17.95,18.69,17.9
1993-01-29,18.47,18.45,18.65,18.4
1993-02-01,18.57,18.45,18.7,18.43
1993-02-02,18.25,18.55,18.57,18.24
1993-02-03,18.26,18.25,18.38,18.17
1993-02-04,18.56,18.4,18.65,18.34
1993-02-05,18.56,18.6,18.6,18.4
1993-02-08,18.3,18.55,18.55,18.29
1993-02-09,18.29,18.35,18.35,18.18
1993-02-10,18.31,18.4,18.56,18.3
1993-02-11,18.39,18.4,18.44,18.3
1993-02-12,18.21,18.55,18.55,18.2
1993-02-15,17.96,17.9,18.15,17.85
1993-02-16,18.15,18.09,18.18,17.9
1993-02-17,17.73,18,18.09,17.66
1993-02-18,17.98,17.75,18,17.62
1993-02-19,18.28,17.95,18.31,17.88
1993-02-22,18.63,18.35,18.67,18.34
1993-02-23,18.95,18.71,19.07,18.7
1993-02-24,19.01,19.05,19.1,18.75
1993-02-25,18.98,19.2,19.2,18.79
1993-02-26,18.92,18.9,18.95,18.77
1993-03-01,18.96,18.93,19.06,18.82
1993-03-02,18.87,18.9,18.91,18.8
1993-03-03,18.97,18.9,18.98,18.85
1993-03-04,19.48,18.96,19.55,18.96
1993-03-05,19.37,19.52,19.68,19.36
1993-03-08,19.05,19.34,19.36,19.03
1993-03-09,19.05,19.11,19.21,19.04
1993-03-10,18.88,19.1,19.35,18.85
1993-03-11,18.55,18.9,18.98,18.49
1993-03-12,18.89,18.66,18.9,18.62
1993-03-15,18.69,19.01,19.11,18.66
1993-03-16,18.6,18.73,18.75,18.52
1993-03-17,18.71,18.55,18.84,18.53
1993-03-18,18.84,18.74,18.89,18.73
1993-03-19,18.62,18.9,19,18.6
1993-03-22,18.27,18.78,18.81,18.25
1993-03-23,18.49,18.35,18.5,18.26
1993-03-24,18.63,18.65,18.71,18.58
1993-03-25,18.77,18.7,18.79,18.59
1993-03-26,18.75,18.75,18.8,18.6
1993-03-29,18.79,18.82,18.89,18.63
1993-03-30,18.66,18.7,18.77,18.61
1993-03-31,18.9,18.7,18.92,18.66
1993-04-01,19,18.93,19.15,18.87
1993-04-02,19.11,19.04,19.15,18.94
1993-04-05,19.06,19.07,19.23,19.03
1993-04-06,18.78,18.95,19,18.72
1993-04-07,18.86,18.8,18.92,18.8
1993-04-08,18.77,18.88,18.96,18.68
1993-04-09,18.77,18.88,18.96,18.68
1993-04-12,18.77,18.88,18.96,18.68
1993-04-13,18.91,18.98,19.03,18.91
1993-04-14,18.86,18.85,18.96,18.73
1993-04-15,18.85,18.85,18.94,18.82
1993-04-16,18.81,18.91,18.94,18.79
1993-04-19,18.72,18.82,18.86,18.71
1993-04-20,18.8,18.75,18.85,18.72
1993-04-21,18.88,18.9,18.98,18.88
1993-04-22,18.76,18.9,18.92,18.72
1993-04-23,18.91,18.79,18.94,18.71
1993-04-26,18.9,18.98,18.98,18.88
1993-04-27,18.76,18.87,18.9,18.75
1993-04-28,18.79,18.77,18.8,18.72
1993-04-29,19.15,18.79,19.16,18.79
1993-04-30,19.15,19.12,19.24,19.08
1993-05-03,19.15,19.12,19.24,19.08
1993-05-04,19.05,19.25,19.25,19.05
1993-05-05,19.16,19,19.18,18.96
1993-05-06,19.16,19.16,19.3,19.15
1993-05-07,19.19,19.16,19.27,19.14
1993-05-10,19.1,19.25,19.27,19.1
1993-05-11,19.07,19.1,19.15,19.03
1993-05-12,18.97,19.1,19.14,18.96
1993-05-13,18.7,18.9,19.02,18.63
1993-05-14,18.6,18.73,18.78,18.51
1993-05-17,18.41,18.46,18.53,18.36
1993-05-18,18.28,18.43,18.49,18.27
