Dates,MID Index_Last,MID Index_Open,MID Index_High,MID Index_Low,MID Index_Volume
1991-12-31,146.59,146.49,146.49,145.11,
1992-01-01,146.59,146.49,146.49,145.11,
1992-01-02,146.18,145.04,145.21,144.34,
1992-01-03,147.17,146.69,146.96,146.62,
1992-01-06,147.63,147.39,147.75,147.39,
1992-01-07,148.08,147.1,148.08,147.1,
1992-01-08,149.12,147.61,149.55,147.61,
1992-01-09,150.69,149.92,150.78,149.92,
1992-01-10,149.7,150.28,150.28,148.94,
1992-01-13,149.48,149.34,149.48,148.98,
1992-01-14,150.93,149.67,150.93,149.67,
1992-01-15,152.92,152.31,152.92,152.14,
1992-01-16,152.14,153.01,153.01,152.02,
1992-01-17,151.83,152.39,152.39,151.41,
1992-01-20,149.16,151.2,151.2,149.95,
1992-01-21,147.26,149.37,149.37,147.26,
1992-01-22,149.76,147.76,149.76,147.58,
1992-01-23,150.11,150.47,150.79,150.05,
1992-01-24,150.15,150.16,150.27,149.78,
1992-01-27,149.66,150.14,150.51,149.65,
1992-01-28,149.61,149.66,149.91,149.36,
1992-01-29,148.37,149.61,150.53,148.37,
1992-01-30,149.16,148.37,149.2,148.07,
1992-01-31,148.97,149.16,149.42,148.85,
1992-02-03,149.9,148.97,149.9,148.85,
1992-02-04,151.49,149.9,151.49,149.9,
1992-02-05,153.02,151.49,153.22,151.49,
1992-02-06,153.07,153.02,153.75,152.73,
1992-02-07,152.34,153.07,153.49,151.61,
1992-02-10,152.32,152.34,152.41,151.79,
1992-02-11,152.83,152.59,153.09,152.22,
1992-02-12,154.74,152.83,154.75,152.79,
1992-02-13,153.15,154.74,155.29,153.07,
1992-02-14,152.57,153.15,153.19,152.43,
1992-02-17,152.57,153.15,153.19,152.43,
1992-02-18,150.59,152.57,152.83,150.58,
1992-02-19,149.99,150.59,150.59,149.3,
1992-02-20,152.2,149.99,152.29,149.99,
1992-02-21,151.51,152.2,152.46,151.27,
1992-02-24,149.88,151.51,151.57,149.79,
1992-02-25,149.09,149.88,150.05,148.07,
1992-02-26,151.33,149.09,151.37,149.09,
1992-02-27,151.84,151.42,152.26,151.42,
1992-02-28,151.02,151.84,152.24,150.76,
1992-03-02,151.35,151.08,151.35,150.38,
1992-03-03,151.18,151.35,151.47,150.99,
1992-03-04,150.16,151.18,151.37,150.13,
1992-03-05,147.91,150.16,150.16,147.83,
1992-03-06,146.86,147.86,147.88,146.33,
1992-03-09,146.78,146.92,147.15,146.45,
1992-03-10,148.21,146.78,148.38,146.78,
1992-03-11,146.97,148.21,148.22,146.71,
1992-03-12,146.61,146.97,147,145.79,
1992-03-13,147.3,146.61,147.51,146.61,
1992-03-16,147.09,147.3,147.36,146.58,
1992-03-17,148.37,147.09,148.37,147.09,
1992-03-18,148.79,148.37,149.09,148.37,
1992-03-19,148.75,148.79,149.12,148.72,
1992-03-20,148.21,148.75,149.06,148.21,
1992-03-23,148.04,148.21,148.48,148.04,
1992-03-24,147.5,148.04,148.54,147.24,
1992-03-25,147.94,147.5,147.96,147.09,
1992-03-26,147.28,147.94,148.22,147.21,
1992-03-27,145.58,147.28,147.29,145.15,
1992-03-30,144.89,145.58,145.74,144.68,
1992-03-31,145.11,144.89,145.26,144.4,
1992-04-01,144.7,145.11,145.11,143.87,
1992-04-02,143.09,144.7,144.91,142.88,
1992-04-03,142.42,143.09,143.09,141.77,
1992-04-06,143.9,142.42,143.91,142.42,
1992-04-07,141.24,143.9,144.2,141.21,
1992-04-08,139.42,141.24,141.24,138.08,
1992-04-09,142.69,139.42,142.7,139.42,
1992-04-10,143.06,142.69,143.9,142.69,
1992-04-13,144.46,143.06,144.46,142.93,
1992-04-14,145.56,144.46,146.35,144.46,
1992-04-15,145.83,145.56,146.42,145.51,
1992-04-16,144.26,145.83,145.87,144.1,
1992-04-17,144.26,145.83,145.87,144.1,
1992-04-20,141.17,144.26,144.26,140.85,
1992-04-21,140.43,141.17,141.3,139.79,
1992-04-22,140.79,140.43,140.89,140.21,
1992-04-23,140.53,140.93,141.08,139.66,
