Dates,MXEF Index_Last,MXEF Index_Open,MXEF Index_High,MXEF Index_Low,MXEF Index_Volume
1991-12-31,288.8,,,,
1992-01-01,288.8,,,,
1992-01-02,292.95,,,,
1992-01-03,297.01,,,,
1992-01-06,302.57,,,,
1992-01-07,301.43,,,,
1992-01-08,300.2,,,,
1992-01-09,301.59,,,,
1992-01-10,302.15,,,,
1992-01-13,303.76,,,,
1992-01-14,303.89,,,,
1992-01-15,300.44,,,,
1992-01-16,306.51,,,,
1992-01-17,307.73,,,,
1992-01-20,311.19,,,,
1992-01-21,310.1,,,,
1992-01-22,310.73,,,,
1992-01-23,319.27,,,,
1992-01-24,323.84,,,,
1992-01-27,327.2,,,,
1992-01-28,328.4,,,,
1992-01-29,326.67,,,,
1992-01-30,319.62,,,,
1992-01-31,322.13,,,,
1992-02-03,318.55,,,,
1992-02-04,320.08,,,,
1992-02-05,316.4,,,,
1992-02-06,316.82,,,,
1992-02-07,321.85,,,,
1992-02-10,323.42,,,,
1992-02-11,323.59,,,,
1992-02-12,326.36,,,,
1992-02-13,321.36,,,,
1992-02-14,323.56,,,,
1992-02-17,323.52,,,,
1992-02-18,323.32,,,,
1992-02-19,327.36,,,,
1992-02-20,330.58,,,,
1992-02-21,334.13,,,,
1992-02-24,334.5,,,,
1992-02-25,332.39,,,,
1992-02-26,334.59,,,,
1992-02-27,335.14,,,,
1992-02-28,335.97,,,,
1992-03-02,335.99,,,,
1992-03-03,338.85,,,,
1992-03-04,336.06,,,,
1992-03-05,338.45,,,,
1992-03-06,336.55,,,,
1992-03-09,333.42,,,,
1992-03-10,333.81,,,,
1992-03-11,335.14,,,,
1992-03-12,335.38,,,,
1992-03-13,336.67,,,,
1992-03-16,334.17,,,,
1992-03-17,335.95,,,,
1992-03-18,337.32,,,,
1992-03-19,338.76,,,,
1992-03-20,343.01,,,,
1992-03-23,346.46,,,,
1992-03-24,346.11,,,,
1992-03-25,344.26,,,,
1992-03-26,343.89,,,,
1992-03-27,344.54,,,,
1992-03-30,343.81,,,,
1992-03-31,346.58,,,,
1992-04-01,345.99,,,,
1992-04-02,346.66,,,,
1992-04-03,348.92,,,,
1992-04-06,352.06,,,,
1992-04-07,350.85,,,,
1992-04-08,344.15,,,,
1992-04-09,343.87,,,,
1992-04-10,350.53,,,,
1992-04-13,350.87,,,,
1992-04-14,350.54,,,,
1992-04-15,352.92,,,,
1992-04-16,353.46,,,,
1992-04-17,353.79,,,,
1992-04-20,351.87,,,,
1992-04-21,351.98,,,,
1992-04-22,352.95,,,,
1992-04-23,352.74,,,,
1992-04-24,351.38,,,,
1992-04-27,344.75,,,,
1992-04-28,344.02,,,,
1992-04-29,342.99,,,,
1992-04-30,342.45,,,,
1992-05-01,342.72,,,,
1992-05-04,342.26,,,,
1992-05-05,344.57,,,,
1992-05-06,345.02,,,,
1992-05-07,342.81,,,,
1992-05-08,344.76,,,,
1992-05-11,347.26,,,,
1992-05-12,348.81,,,,
1992-05-13,347.7,,,,
1992-05-14,347.61,,,,
1992-05-15,347.33,,,,
1992-05-18,344.48,,,,
1992-05-19,343.74,,,,
1992-05-20,344.55,,,,
1992-05-21,344.21,,,,
1992-05-22,341.19,,,,
1992-05-25,336.86,,,,
1992-05-26,335.27,,,,
1992-05-27,337.98,,,,
1992-05-28,338.27,,,,
1992-05-29,340.42,,,,
1992-06-01,342.7,,,,
1992-06-02,341.59,,,,
1992-06-03,340.15,,,,
1992-06-04,339.24,,,,
1992-06-05,338.72,,,,
1992-06-08,336.64,,,,
1992-06-09,334.69,,,,
1992-06-10,332.95,,,,
1992-06-11,336.62,,,,
1992-06-12,335.13,,,,
1992-06-15,329.52,,,,
1992-06-16,324.68,,,,
1992-06-17,315.44,,,,
1992-06-18,316.03,,,,
1992-06-19,320.73,,,,
1992-06-22,311.65,,,,
1992-06-23,309.44,,,,
1992-06-24,305.04,,,,
1992-06-25,307.27,,,,
1992-06-26,310.5,,,,
1992-06-29,305.69,,,,
1992-06-30,305.52,,,,
1992-07-01,308.94,,,,
1992-07-02,310.76,,,,
1992-07-03,308.75,,,,
1992-07-06,307.79,,,,
1992-07-07,307.34,,,,
1992-07-08,307.76,,,,
1992-07-09,307.65,,,,
1992-07-10,312.78,,,,
1992-07-13,317.56,,,,
1992-07-14,319.86,,,,
1992-07-15,318.57,,,,
1992-07-16,322.4,,,,
1992-07-17,320.55,,,,
1992-07-20,315.33,,,,
1992-07-21,312.65,,,,
1992-07-22,308.51,,,,
1992-07-23,305.35,,,,
1992-07-24,303.49,,,,
1992-07-27,302.04,,,,
1992-07-28,305.71,,,,
1992-07-29,302.8,,,,
1992-07-30,304.96,,,,
1992-07-31,308.38,,,,
1992-08-03,305.03,,,,
1992-08-04,304.57,,,,
1992-08-05,304.37,,,,
1992-08-06,304.46,,,,
1992-08-07,306.41,,,,
1992-08-10,306.23,,,,
1992-08-11,305.05,,,,
1992-08-12,303.13,,,,
1992-08-13,300.48,,,,
1992-08-14,297.9,,,,
1992-08-17,295.84,,,,
1992-08-18,292.31,,,,
1992-08-19,292.5,,,,
1992-08-20,289.77,,,,
1992-08-21,287.92,,,,
1992-08-24,285.65,,,,
1992-08-25,286.68,,,,
1992-08-26,290.48,,,,
1992-08-27,293.69,,,,
1992-08-28,295.61,,,,
1992-08-31,293.44,,,,
1992-09-01,294.32,,,,
1992-09-02,293.35,,,,
1992-09-03,292.8,,,,
1992-09-04,292.93,,,,
1992-09-07,293.56,,,,
1992-09-08,294.72,,,,
1992-09-09,293.46,,,,
1992-09-10,290.86,,,,
1992-09-11,290.8,,,,
1992-09-14,293.78,,,,
1992-09-15,291.58,,,,
1992-09-16,289.66,,,,
1992-09-17,289.54,,,,
1992-09-18,290.21,,,,
1992-09-21,290.86,,,,
1992-09-22,288.15,,,,
1992-09-23,287.94,,,,
1992-09-24,290.02,,,,
1992-09-25,292.46,,,,
1992-09-28,290.67,,,,
1992-09-29,293.43,,,,
