Dates,RLV Index_Last,RLV Index_Open,RLV Index_High,RLV Index_Low,RLV Index_Volume
1991-12-31,193.452,,,,
1992-01-01,193.452,,,,
1992-01-02,193.809,,,,
1992-01-03,194.974,,,,
1992-01-06,194.78,,,,
1992-01-07,194.521,,,,
1992-01-08,194.537,,,,
1992-01-09,194.197,,,,
1992-01-10,192.966,,,,
1992-01-13,192.545,,,,
1992-01-14,195.493,,,,
1992-01-15,197.727,,,,
1992-01-16,198.294,,,,
1992-01-17,198.132,,,,
1992-01-20,197.08,,,,
1992-01-21,195.606,,,,
1992-01-22,197.468,,,,
1992-01-23,196.011,,,,
1992-01-24,196.092,,,,
1992-01-27,196.335,,,,
1992-01-28,196.481,,,,
1992-01-29,194.521,,,,
1992-01-30,194.634,,,,
1992-01-31,193.323,,,,
1992-02-03,193.647,,,,
1992-02-04,195.476,,,,
1992-02-05,195.282,,,,
1992-02-06,195.93,,,,
1992-02-07,194.958,,,,
1992-02-10,196.626,,,,
1992-02-11,197.031,,,,
1992-02-12,198.796,,,,
1992-02-13,197.614,,,,
1992-02-14,197.97,,,,
1992-02-17,197.97,,,,
1992-02-18,196.772,,,,
1992-02-19,197.015,,,,
1992-02-20,199.153,,,,
1992-02-21,198.003,,,,
1992-02-24,197.727,,,,
1992-02-25,196.513,,,,
1992-02-26,197.905,,,,
1992-02-27,197.679,,,,
1992-02-28,197.193,,,,
1992-03-02,197.468,,,,
1992-03-03,198.132,,,,
1992-03-04,196.918,,,,
1992-03-05,195.104,,,,
1992-03-06,193.954,,,,
1992-03-09,194.31,,,,
1992-03-10,195.072,,,,
1992-03-11,193.841,,,,
1992-03-12,193.792,,,,
1992-03-13,194.845,,,,
1992-03-16,194.893,,,,
1992-03-17,195.979,,,,
1992-03-18,196.561,,,,
1992-03-19,197.355,,,,
1992-03-20,198.019,,,,
1992-03-23,197.468,,,,
1992-03-24,196.642,,,,
1992-03-25,195.865,,,,
1992-03-26,195.93,,,,
1992-03-27,193.938,,,,
1992-03-30,193.679,,,,
1992-03-31,193.792,,,,
1992-04-01,193.355,,,,
1992-04-02,191.752,,,,
1992-04-03,191.46,,,,
1992-04-06,193.226,,,,
1992-04-07,190.473,,,,
1992-04-08,188.448,,,,
1992-04-09,191.137,,,,
1992-04-10,192.367,,,,
1992-04-13,193.404,,,,
1992-04-14,196.238,,,,
1992-04-15,198.618,,,,
1992-04-16,199.768,,,,
1992-04-17,199.768,,,,
1992-04-20,198.1,,,,
1992-04-21,198.278,,,,
1992-04-22,198.877,,,,
1992-04-23,200.14,,,,
1992-04-24,199.023,,,,
1992-04-27,198.424,,,,
1992-04-28,198.57,,,,
1992-04-29,200.221,,,,
1992-04-30,201.679,,,,
1992-05-01,200.756,,,,
1992-05-04,202.44,,,,
1992-05-05,202.731,,,,
1992-05-06,202.877,,,,
1992-05-07,202.359,,,,
1992-05-08,202.505,,,,
1992-05-11,203.331,,,,
1992-05-12,202.683,,,,
1992-05-13,203.055,,,,
1992-05-14,201.663,,,,
1992-05-15,200.399,,,,
1992-05-18,201.209,,,,
1992-05-19,202.553,,,,
1992-05-20,202.456,,,,
1992-05-21,201.274,,,,
1992-05-22,201.776,,,,
1992-05-25,201.776,,,,
1992-05-26,200.982,,,,
1992-05-27,201.274,,,,
1992-05-28,202.165,,,,
1992-05-29,201.857,,,,
1992-06-01,202.472,,,,
1992-06-02,202.051,,,,
1992-06-03,202.553,,,,
1992-06-04,202.262,,,,
1992-06-05,202.488,,,,
1992-06-08,202.812,,,,
1992-06-09,201.355,,,,
1992-06-10,200.545,,,,
1992-06-11,200.853,,,,
1992-06-12,201.112,,,,
1992-06-15,201.355,,,,
1992-06-16,200.918,,,,
1992-06-17,197.938,,,,
1992-06-18,197.096,,,,
1992-06-19,197.922,,,,
1992-06-22,196.999,,,,
1992-06-23,197.452,,,,
1992-06-24,197.841,,,,
1992-06-25,197.517,,,,
1992-06-26,197.485,,,,
1992-06-29,199.849,,,,
1992-06-30,200.011,,,,
1992-07-01,201.371,,,,
1992-07-02,200.707,,,,
1992-07-03,200.707,,,,
1992-07-06,200.772,,,,
1992-07-07,199.298,,,,
1992-07-08,199.719,,,,
1992-07-09,201.646,,,,
1992-07-10,202.359,,,,
1992-07-13,202.715,,,,
1992-07-14,204.156,,,,
1992-07-15,203.525,,,,
1992-07-16,203.541,,,,
1992-07-17,202.148,,,,
1992-07-20,201.646,,,,
1992-07-21,201.646,,,,
1992-07-22,200.238,,,,
1992-07-23,200.853,,,,
1992-07-24,200.82,,,,
1992-07-27,200.626,,,,
1992-07-28,203.476,,,,
1992-07-29,205.581,,,,
1992-07-30,206.715,,,,
1992-07-31,206.796,,,,
1992-08-03,206.812,,,,
1992-08-04,206.278,,,,
1992-08-05,205.193,,,,
1992-08-06,203.881,,,,
1992-08-07,203.169,,,,
1992-08-10,203.071,,,,
1992-08-11,202.974,,,,
1992-08-12,202.407,,,,
1992-08-13,202.407,,,,
1992-08-14,203.298,,,,
1992-08-17,203.606,,,,
1992-08-18,203.557,,,,
1992-08-19,201.905,,,,
1992-08-20,201.744,,,,
1992-08-21,200.61,,,,
1992-08-24,198.019,,,,
1992-08-25,198.213,,,,
1992-08-26,198.926,,,,
1992-08-27,199.314,,,,
1992-08-28,199.962,,,,
1992-08-31,199.574,,,,
1992-09-01,200.367,,,,
1992-09-02,201.42,,,,
1992-09-03,201.112,,,,
1992-09-04,200.529,,,,
1992-09-07,200.529,,,,
1992-09-08,199.071,,,,
1992-09-09,199.8,,,,
1992-09-10,201.322,,,,
1992-09-11,200.918,,,,
1992-09-14,203.622,,,,
1992-09-15,201.193,,,,
1992-09-16,200.788,,,,
1992-09-17,200.61,,,,
1992-09-18,201.857,,,,
1992-09-21,201.76,,,,
1992-09-22,199.93,,,,
1992-09-23,199.752,,,,
1992-09-24,200.804,,,,
1992-09-25,199.719,,,,
1992-09-28,200.659,,,,
1992-09-29,200.982,,,,
1992-09-30,201.808,,,,
1992-10-01,201.08,,,,
1992-10-02,198.699,,,,
1992-10-05,196.982,,,,
1992-10-06,197.565,,,,
1992-10-07,196.286,,,,
1992-10-08,197.371,,,,
1992-10-09,195.347,,,,
1992-10-12,197.501,,,,
1992-10-13,198.213,,,,
1992-10-14,197.808,,,,
1992-10-15,197.565,,,,
1992-10-16,198.294,,,,
1992-10-19,199.59,,,,
1992-10-20,199.93,,,,
1992-10-21,199.994,,,,
1992-10-22,199.493,,,,
1992-10-23,199.606,,,,
1992-10-26,201.112,,,,
1992-10-27,201.161,,,,
1992-10-28,202.116,,,,
1992-10-29,202.375,,,,
1992-10-30,201.517,,,,
1992-11-02,203.023,,,,
1992-11-03,202.148,,,,
1992-11-04,201.112,,,,
1992-11-05,201.436,,,,
1992-11-06,201.047,,,,
1992-11-09,201.42,,,,
1992-11-10,201.161,,,,
1992-11-11,201.857,,,,
1992-11-12,202.003,,,,
1992-11-13,201.986,,,,
1992-11-16,201.209,,,,
1992-11-17,200.545,,,,
1992-11-18,201.97,,,,
1992-11-19,202.197,,,,
1992-11-20,203.59,,,,
1992-11-23,203.282,,,,
1992-11-24,204.221,,,,
1992-11-25,205.581,,,,
1992-11-26,205.581,,,,
1992-11-27,206.213,,,,
1992-11-30,207.266,,,,
1992-12-01,207.104,,,,
1992-12-02,206.715,,,,
1992-12-03,206.699,,,,
1992-12-04,207.654,,,,
1992-12-07,208.804,,,,
1992-12-08,209.695,,,,
1992-12-09,208.966,,,,
1992-12-10,208.691,,,,
1992-12-11,208.48,,,,
1992-12-14,208.253,,,,
1992-12-15,208.011,,,,
1992-12-16,207.509,,,,
1992-12-17,208.982,,,,
1992-12-18,211.023,,,,
1992-12-21,210.942,,,,
1992-12-22,211.573,,,,
1992-12-23,211.816,,,,
1992-12-24,211.784,,,,
1992-12-25,211.784,,,,
1992-12-28,211.492,,,,
1992-12-29,211.557,,,,
1992-12-30,212.043,,,,
1992-12-31,211.687,,,,
1993-01-01,211.687,,,,
1993-01-04,211.622,,,,
1993-01-05,211.411,,,,
1993-01-06,212.755,,,,
1993-01-07,211.071,,,,
1993-01-08,209.598,,,,
1993-01-11,210.699,,,,
1993-01-12,211.071,,,,
1993-01-13,212.545,,,,
1993-01-14,214.051,,,,
1993-01-15,214.78,,,,
1993-01-18,215.654,,,,
1993-01-19,218.375,,,,
1993-01-20,215.12,,,,
1993-01-21,215.913,,,,
1993-01-22,216.367,,,,
1993-01-25,217.921,,,,
1993-01-26,218.245,,,,
1993-01-27,217.435,,,,
1993-01-28,217.484,,,,
1993-01-29,217.403,,,,
1993-02-01,219.784,,,,
1993-02-02,220.577,,,,
1993-02-03,222.569,,,,
1993-02-04,224.982,,,,
1993-02-05,224.545,,,,
1993-02-08,224.577,,,,
1993-02-09,223.443,,,,
1993-02-10,223.751,,,,
1993-02-11,224.464,,,,
1993-02-12,223.249,,,,
1993-02-15,223.249,,,,
1993-02-16,218.116,,,,
1993-02-17,218.035,,,,
1993-02-18,217.549,,,,
1993-02-19,220.269,,,,
1993-02-22,221.873,,,,
1993-02-23,220.755,,,,
1993-02-24,222.844,,,,
1993-02-25,223.962,,,,
1993-02-26,224.237,,,,
1993-03-01,223.767,,,,
1993-03-02,226.002,,,,
1993-03-03,227.022,,,,
1993-03-04,226.472,,,,
1993-03-05,226.034,,,,
1993-03-08,229.516,,,,
1993-03-09,230.083,,,,
1993-03-10,230.714,,,,
1993-03-11,229.451,,,,
1993-03-12,227.524,,,,
1993-03-15,228.285,,,,
1993-03-16,228.901,,,,
1993-03-17,227.573,,,,
1993-03-18,229.532,,,,
1993-03-19,229.111,,,,
1993-03-22,228.723,,,,
1993-03-23,228.593,,,,
1993-03-24,228.561,,,,
1993-03-25,229.921,,,,
1993-03-26,229.289,,,,
1993-03-29,230.099,,,,
1993-03-30,230.067,,,,
1993-03-31,230.277,,,,
1993-04-01,229.694,,,,
1993-04-02,225.905,,,,
1993-04-05,227.168,,,,
1993-04-06,227.767,,,,
1993-04-07,229.225,,,,
1993-04-08,229.354,,,,
1993-04-09,229.354,,,,
1993-04-12,232.156,,,,
1993-04-13,233.354,,,,
1993-04-14,233.419,,,,
1993-04-15,233.289,,,,
1993-04-16,234.52,,,,
1993-04-19,232.884,,,,
1993-04-20,231.152,,,,
1993-04-21,229.808,,,,
1993-04-22,228.14,,,,
1993-04-23,226.585,,,,
1993-04-26,223.589,,,,
1993-04-27,225.03,,,,
1993-04-28,225.646,,,,
1993-04-29,226.164,,,,
1993-04-30,226.876,,,,
1993-05-03,227.686,,,,
1993-05-04,228.965,,,,
1993-05-05,228.609,,,,
1993-05-06,227.654,,,,
1993-05-07,226.893,,,,
1993-05-10,227.411,,,,
1993-05-11,228.561,,,,
1993-05-12,228.965,,,,
1993-05-13,226.212,,,,
1993-05-14,224.755,,,,
1993-05-17,224.399,,,,
1993-05-18,224.269,,,,
1993-05-19,227.411,,,,
1993-05-20,228.544,,,,
1993-05-21,226.714,,,,
1993-05-24,227.589,,,,
1993-05-25,228.285,,,,
1993-05-26,231.427,,,,
1993-05-27,231.751,,,,
1993-05-28,230.552,,,,
1993-05-31,230.552,,,,
1993-06-01,232.674,,,,
1993-06-02,232.852,,,,
1993-06-03,232.674,,,,
1993-06-04,231.573,,,,
1993-06-07,230.18,,,,
1993-06-08,228.577,,,,
1993-06-09,229.435,,,,
1993-06-10,228.868,,,,
1993-06-11,229.548,,,,
1993-06-14,229.646,,,,
1993-06-15,229.435,,,,
1993-06-16,229.824,,,,
1993-06-17,230.488,,,,
1993-06-18,229.16,,,,
1993-06-21,231.038,,,,
1993-06-22,231.378,,,,
1993-06-23,229.953,,,,
1993-06-24,231.362,,,,
1993-06-25,231.88,,,,
1993-06-28,235.2,,,,
1993-06-29,234.374,,,,
1993-06-30,235.152,,,,
1993-07-01,235.103,,,,
1993-07-02,233.305,,,,
1993-07-05,233.305,,,,
1993-07-06,232.058,,,,
1993-07-07,232.706,,,,
1993-07-08,235.459,,,,
1993-07-09,235.362,,,,
1993-07-12,235.427,,,,
1993-07-13,234.747,,,,
1993-07-14,235.2,,,,
1993-07-15,234.973,,,,
1993-07-16,234.099,,,,
1993-07-19,234.601,,,,
1993-07-20,234.714,,,,
1993-07-21,235.087,,,,
1993-07-22,234.131,,,,
1993-07-23,235.281,,,,
1993-07-26,236.82,,,,
1993-07-27,236.431,,,,
1993-07-28,236.188,,,,
1993-07-29,237.856,,,,
1993-07-30,237.257,,,,
1993-08-02,238.066,,,,
1993-08-03,237.726,,,,
1993-08-04,237.5,,,,
1993-08-05,237.095,,,,
1993-08-06,237.37,,,,
1993-08-09,238.682,,,,
1993-08-10,238.763,,,,
1993-08-11,239.168,,,,
1993-08-12,238.811,,,,
1993-08-13,239.135,,,,
1993-08-16,239.864,,,,
1993-08-17,239.54,,,,
1993-08-18,239.815,,,,
1993-08-19,239.945,,,,
1993-08-20,239.815,,,,
1993-08-23,239.864,,,,
1993-08-24,242.471,,,,
1993-08-25,243.378,,,,
1993-08-26,244.074,,,,
1993-08-27,243.103,,,,
1993-08-30,243.75,,,,
1993-08-31,244.819,,,,
1993-09-01,244.787,,,,
1993-09-02,243.686,,,,
1993-09-03,244.01,,,,
1993-09-06,244.01,,,,
1993-09-07,243.151,,,,
1993-09-08,242.293,,,,
1993-09-09,243.119,,,,
1993-09-10,245.742,,,,
1993-09-13,246.422,,,,
1993-09-14,244.738,,,,
1993-09-15,245.483,,,,
1993-09-16,244.673,,,,
1993-09-17,244.414,,,,
1993-09-20,243.087,,,,
1993-09-21,241.208,,,,
1993-09-22,242.844,,,,
1993-09-23,243.135,,,,
1993-09-24,243.216,,,,
1993-09-27,245.208,,,,
1993-09-28,245.759,,,,
1993-09-29,245.435,,,,
1993-09-30,244.787,,,,
1993-10-01,246.244,,,,
1993-10-04,246.001,,,,
1993-10-05,245.564,,,,
1993-10-06,245.24,,,,
1993-10-07,244.09,,,,
1993-10-08,244.285,,,,
1993-10-11,243.783,,,,
1993-10-12,244.269,,,,
1993-10-13,244.107,,,,
1993-10-14,245.451,,,,
1993-10-15,245.645,,,,
1993-10-18,244.317,,,,
1993-10-19,243.329,,,,
1993-10-20,243.378,,,,
1993-10-21,242.989,,,,
1993-10-22,242.682,,,,
1993-10-25,242.487,,,,
1993-10-26,242.455,,,,
1993-10-27,242.666,,,,
1993-10-28,244.107,,,,
1993-10-29,244.155,,,,
1993-11-01,244.868,,,,
1993-11-02,244.252,,,,
1993-11-03,240.074,,,,
1993-11-04,237.127,,,,
1993-11-05,238.228,,,,
1993-11-08,238.52,,,,
1993-11-09,238.277,,,,
1993-11-10,239.459,,,,
1993-11-11,238.73,,,,
1993-11-12,239.848,,,,
1993-11-15,238.779,,,,
1993-11-16,239.896,,,,
1993-11-17,239.346,,,,
1993-11-18,238.633,,,,
1993-11-19,237.613,,,,
1993-11-22,235.556,,,,
1993-11-23,236.884,,,,
1993-11-24,237.904,,,,
1993-11-25,237.904,,,,
1993-11-26,238.293,,,,
1993-11-29,238.487,,,,
1993-11-30,238.164,,,,
1993-12-01,238.504,,,,
1993-12-02,239.022,,,,
1993-12-03,239.799,,,,
1993-12-06,240.593,,,,
1993-12-07,240.868,,,,
1993-12-08,240.706,,,,
1993-12-09,240.01,,,,
1993-12-10,240.544,,,,
1993-12-13,241.467,,,,
1993-12-14,240.317,,,,
1993-12-15,239.718,,,,
1993-12-16,240.593,,,,
1993-12-17,242.504,,,,
1993-12-20,242.617,,,,
1993-12-21,241.921,,,,
1993-12-22,242.876,,,,
1993-12-23,242.811,,,,
1993-12-24,242.811,,,,
1993-12-27,244.139,,,,
1993-12-28,244.673,,,,
1993-12-29,244.285,,,,
1993-12-30,243.41,,,,
1993-12-31,242.163,,,,
1994-01-03,241.289,,,,
1994-01-04,242.034,,,,
1994-01-05,241.969,,,,
1994-01-06,241.386,,,,
1994-01-07,242.746,,,,
1994-01-10,245.111,,,,
1994-01-11,244.56,,,,
1994-01-12,244.528,,,,
1994-01-13,244.285,,,,
1994-01-14,245.159,,,,
1994-01-17,244.414,,,,
1994-01-18,244.933,,,,
1994-01-19,244.803,,,,
1994-01-20,245.467,,,,
1994-01-21,245.418,,,,
1994-01-24,244.495,,,,
1994-01-25,243.67,,,,
1994-01-26,244.868,,,,
1994-01-27,247.605,,,,
1994-01-28,248.495,,,,
1994-01-31,250.827,,,,
1994-02-01,249.532,,,,
1994-02-02,250.374,,,,
1994-02-03,249.694,,,,
1994-02-04,243.864,,,,
1994-02-07,244.771,,,,
1994-02-08,244.771,,,,
1994-02-09,245.823,,,,
1994-02-10,243.734,,,,
1994-02-11,243.621,,,,
1994-02-14,243.734,,,,
1994-02-15,244.641,,,,
1994-02-16,244.252,,,,
1994-02-17,243.103,,,,
1994-02-18,241.759,,,,
1994-02-21,241.759,,,,
1994-02-22,243.443,,,,
1994-02-23,242.844,,,,
1994-02-24,239.961,,,,
1994-02-25,240.787,,,,
1994-02-28,241.289,,,,
1994-03-01,240.091,,,,
1994-03-02,240.56,,,,
1994-03-03,240.301,,,,
1994-03-04,241.386,,,,
1994-03-07,241.969,,,,
1994-03-08,241.581,,,,
1994-03-09,241.775,,,,
1994-03-10,240.463,,,,
1994-03-11,241.953,,,,
1994-03-14,242.406,,,,
1994-03-15,242.471,,,,
1994-03-16,244.512,,,,
1994-03-17,245.014,,,,
1994-03-18,244.609,,,,
1994-03-21,243.443,,,,
1994-03-22,244.09,,,,
1994-03-23,244.479,,,,
1994-03-24,242.212,,,,
1994-03-25,240.204,,,,
1994-03-28,239.88,,,,
1994-03-29,235.994,,,,
1994-03-30,232.237,,,,
1994-03-31,231.799,,,,
1994-04-01,231.799,,,,
1994-04-04,228.237,,,,
1994-04-05,233.257,,,,
1994-04-06,233.856,,,,
1994-04-07,235.394,,,,
1994-04-08,233.726,,,,
1994-04-11,235.411,,,,
1994-04-12,234.828,,,,
1994-04-13,233.969,,,,
1994-04-14,234.941,,,,
1994-04-15,235.459,,,,
1994-04-18,233.759,,,,
1994-04-19,233.322,,,,
1994-04-20,232.803,,,,
1994-04-21,235.071,,,,
1994-04-22,234.552,,,,
1994-04-25,237.062,,,,
1994-04-26,236.415,,,,
1994-04-27,236.415,,,,
1994-04-28,234.245,,,,
1994-04-29,235.702,,,,
1994-05-02,236.042,,,,
1994-05-03,236.058,,,,
1994-05-04,235.492,,,,
1994-05-05,235.297,,,,
1994-05-06,233.386,,,,
1994-05-09,230.164,,,,
1994-05-10,231.897,,,,
1994-05-11,229.208,,,,
1994-05-12,229.824,,,,
1994-05-13,230.455,,,,
1994-05-16,230.504,,,,
1994-05-17,233.467,,,,
1994-05-18,235.832,,,,
1994-05-19,237.16,,,,
1994-05-20,236.722,,,,
1994-05-23,235.621,,,,
1994-05-24,236.35,,,,
1994-05-25,237.192,,,,
1994-05-26,237.807,,,,
1994-05-27,237.872,,,,
1994-05-30,237.872,,,,
1994-05-31,237.402,,,,
1994-06-01,238.52,,,,
1994-06-02,238.326,,,,
1994-06-03,239.135,,,,
1994-06-06,239.297,,,,
1994-06-07,238.504,,,,
1994-06-08,238.212,,,,
1994-06-09,238.52,,,,
1994-06-10,239.799,,,,
1994-06-13,240.123,,,,
1994-06-14,241.775,,,,
1994-06-15,240.657,,,,
1994-06-16,241.095,,,,
1994-06-17,239.168,,,,
1994-06-20,236.884,,,,
1994-06-21,234.779,,,,
1994-06-22,235.815,,,,
1994-06-23,234.099,,,,
1994-06-24,230.261,,,,
1994-06-27,232.237,,,,
1994-06-28,231.443,,,,
1994-06-29,232.318,,,,
1994-06-30,231.233,,,,
1994-07-01,231.864,,,,
1994-07-04,231.864,,,,
1994-07-05,231.654,,,,
1994-07-06,232.01,,,,
1994-07-07,233.176,,,,
1994-07-08,233.645,,,,
1994-07-11,232.706,,,,
1994-07-12,232.739,,,,
1994-07-13,233.386,,,,
1994-07-14,235.718,,,,
1994-07-15,236.172,,,,
1994-07-18,236.674,,,,
1994-07-19,236.155,,,,
1994-07-20,235.087,,,,
1994-07-21,235.297,,,,
1994-07-22,235.589,,,,
1994-07-25,235.896,,,,
1994-07-26,235.67,,,,
1994-07-27,235.103,,,,
1994-07-28,235.961,,,,
1994-07-29,237.888,,,,
1994-08-01,239.832,,,,
1994-08-02,239.783,,,,
1994-08-03,240.22,,,,
1994-08-04,238.795,,,,
1994-08-05,237.856,,,,
1994-08-08,238.261,,,,
1994-08-09,238.228,,,,
1994-08-10,238.909,,,,
1994-08-11,237.937,,,,
1994-08-12,239.119,,,,
1994-08-15,238.649,,,,
1994-08-16,239.864,,,,
1994-08-17,239.427,,,,
1994-08-18,237.985,,,,
1994-08-19,238.05,,,,
1994-08-22,237.289,,,,
1994-08-23,238.212,,,,
1994-08-24,240.366,,,,
1994-08-25,239.653,,,,
1994-08-26,242.131,,,,
1994-08-29,243.006,,,,
1994-08-30,243.912,,,,
1994-08-31,243.605,,,,
1994-09-01,242.358,,,,
1994-09-02,241.386,,,,
1994-09-05,241.386,,,,
1994-09-06,241.548,,,,
1994-09-07,241.062,,,,
1994-09-08,241.613,,,,
1994-09-09,239.734,,,,
1994-09-12,238.18,,,,
1994-09-13,238.244,,,,
1994-09-14,238.779,,,,
1994-09-15,241.062,,,,
1994-09-16,239.653,,,,
1994-09-19,238.989,,,,
