Dates,RTY Index_Last,RTY Index_Open,RTY Index_High,RTY Index_Low,RTY Index_Volume
1991-12-31,189.8,187.83,189.94,187.49,
1992-01-01,189.91,187.83,189.94,187.49,
1992-01-02,189.84,189.95,189.98,187.92,
1992-01-03,191.993,189.95,192.15,189.94,
1992-01-06,194.33,192.1,194.45,192.1,
1992-01-07,195.554,194.43,195.77,193.79,
1992-01-08,197.911,195.79,198.11,194.96,
1992-01-09,200.41,198.09,200.68,198.09,
1992-01-10,199.263,200.59,200.6,198.32,
1992-01-13,199.771,199.29,199.86,198.7,
1992-01-14,202.326,199.87,202.35,199.87,
1992-01-15,204.265,202.34,204.31,202.34,
1992-01-16,204.329,204.31,204.82,203.21,
1992-01-17,204.913,204.41,205.13,204.3,
1992-01-20,204.229,205.04,205.05,204.2,
1992-01-21,200.829,204.29,204.31,200.72,
1992-01-22,203.621,200.95,203.73,200.94,
1992-01-23,204.635,203.73,204.94,203.73,
1992-01-24,205.299,204.65,205.49,204.59,
1992-01-27,204.913,205.43,205.94,204.96,
1992-01-28,204.832,205.05,205.39,204.71,
1992-01-29,203.609,204.97,206.01,203.56,
1992-01-30,204.724,203.87,204.94,203.53,
1992-01-31,205.013,204.88,205.39,204.53,
1992-02-03,205.754,205.16,205.92,205.16,
1992-02-04,207.677,205.87,207.85,205.87,
1992-02-05,209.242,207.82,209.54,207.82,
1992-02-06,210.152,209.35,210.71,209.35,
1992-02-07,209.939,210.24,211.22,209.31,
1992-02-10,210.357,210.08,210.55,209.83,
1992-02-11,210.498,210.55,210.84,210.33,
1992-02-12,212.377,210.71,212.62,210.71,
1992-02-13,211.335,212.62,213,211.31,
1992-02-14,211.315,211.53,211.78,211,
1992-02-17,211.56,211.53,211.78,211,
1992-02-18,209.87,211.55,212.12,210.01,
1992-02-19,208.156,210.07,210.07,207.99,
1992-02-20,210.639,208.37,211.6,208.37,
1992-02-21,210.107,210.9,211.07,209.74,
1992-02-24,208.667,210.4,210.4,208.89,
1992-02-25,207.335,208.87,208.98,206.86,
1992-02-26,209.749,207.8,210.21,207.8,
1992-02-27,210.602,210.22,211.19,210.22,
1992-02-28,210.691,211.03,211.71,210.55,
1992-03-02,211.286,211.17,211.8,211.17,
1992-03-03,211.596,211.77,212.12,211.66,
1992-03-04,210.92,212.09,212.26,211.18,
1992-03-05,208.22,211.25,211.25,208.49,
1992-03-06,206.88,208.7,208.71,206.68,
1992-03-09,206.418,207.23,207.45,206.64,
1992-03-10,207.778,206.87,208.32,206.85,
1992-03-11,206.394,208.18,208.32,206.47,
1992-03-12,205.492,206.87,206.92,205.38,
1992-03-13,206.289,206.1,206.81,206.1,
1992-03-16,205.621,206.76,206.77,205.56,
1992-03-17,206.727,206.11,207.23,206.11,
1992-03-18,207.725,207.23,208.16,207.23,
1992-03-19,207.987,208.15,208.47,207.96,
1992-03-20,207.822,208.48,208.76,208.02,
1992-03-23,207.206,208.37,208.42,207.57,
1992-03-24,206.394,207.75,207.95,206.57,
1992-03-25,206.462,206.93,207.09,206.63,
1992-03-26,205.718,206.92,207.42,206.13,
1992-03-27,203.287,206.26,206.26,203.41,
1992-03-30,202.402,203.84,203.91,202.89,
1992-03-31,203.259,202.94,203.73,202.32,
1992-04-01,202.144,203.7,203.7,201.71,
1992-04-02,200.209,202.39,202.55,200.35,
1992-04-03,198.861,200.48,200.5,198.56,
1992-04-06,199.388,199.05,199.59,199.04,
1992-04-07,195.807,199.59,199.86,195.97,
1992-04-08,192.894,195.99,195.99,191.2,
1992-04-09,196.036,193.04,196.23,193.04,
1992-04-10,197.03,196.25,198.09,196.25,
1992-04-13,196.938,197.11,197.3,196.82,
