Dates,SPX Index_Last,SPX Index_Open,SPX Index_High,SPX Index_Low,SPX Index_Volume
1991-12-31,417.09,415.13,418.32,412.73,182086096
1992-01-01,417.09,415.13,418.32,412.73,182086096
1992-01-02,417.26,416.96,417.27,411.04,152854592
1992-01-03,419.34,417.27,419.79,416.16,157520192
1992-01-06,417.96,419.23,419.44,416.92,175008896
1992-01-07,417.4,417.65,417.96,415.2,181143104
1992-01-08,418.1,417.23,420.23,415.02,217625792
1992-01-09,417.61,418.07,420.5,415.85,205643104
1992-01-10,415.1,417.39,417.62,413.31,164892192
1992-01-13,414.34,414.64,415.36,413.54,143954208
1992-01-14,420.44,414.35,420.44,414.32,194262896
1992-01-15,420.77,420.45,421.18,418.79,232259600
1992-01-16,418.21,420.77,420.85,415.37,255461792
1992-01-17,418.86,418.2,419.45,416,223701792
1992-01-20,416.36,418.86,418.86,415.8,131473400
1992-01-21,412.64,416.36,416.39,411.32,167365696
1992-01-22,418.13,412.65,418.13,412.49,171683504
1992-01-23,414.96,418.13,419.78,414.36,167850208
1992-01-24,415.48,414.96,417.27,414.29,156348496
1992-01-27,414.99,415.44,416.84,414.48,131507800
1992-01-28,414.96,414.98,416.41,414.54,150763808
1992-01-29,410.34,414.99,417.83,409.17,180231392
1992-01-30,411.63,410.34,412.17,409.26,137308496
1992-01-31,408.79,411.65,412.63,408.64,152676896
1992-02-03,409.53,408.71,409.95,407.45,133329104
1992-02-04,413.85,409.6,413.85,409.28,167391104
1992-02-05,413.84,413.88,416.17,413.18,181948800
1992-02-06,413.82,413.87,414.55,411.93,163524496
1992-02-07,411.09,413.82,415.29,408.04,171170096
1992-02-10,413.77,411.07,413.77,411.07,134424800
1992-02-11,413.76,413.77,414.38,412.24,146152992
1992-02-12,417.13,413.77,418.08,413.36,165251808
1992-02-13,413.69,417.13,417.77,412.07,159516304
1992-02-14,412.48,413.69,413.84,411.2,150892800
1992-02-17,412.48,413.69,413.84,411.2,150892800
1992-02-18,407.38,412.48,413.27,406.34,170260992
1992-02-19,408.26,407.38,408.7,406.54,171168992
1992-02-20,413.9,408.26,413.9,408.26,192911104
1992-02-21,411.46,413.9,414.26,409.72,193773792
1992-02-24,412.27,411.46,412.94,410.34,123763800
1992-02-25,410.45,412.27,412.27,408.02,148547504
1992-02-26,415.35,410.48,415.35,410.48,160844800
1992-02-27,413.86,415.35,415.99,413.47,140286400
1992-02-28,412.7,413.86,416.07,411.8,140717296
1992-03-02,412.45,412.68,413.74,411.52,127695104
1992-03-03,412.85,412.45,413.78,411.88,143920496
1992-03-04,409.33,412.86,413.27,409.33,141090304
1992-03-05,406.51,409.33,409.33,405.42,141971008
1992-03-06,404.44,406.51,407.51,403.65,132973800
1992-03-09,405.21,404.45,405.64,404.25,111836496
1992-03-10,406.89,405.21,409.16,405.21,143822592
1992-03-11,404.03,406.88,407.02,402.64,131739400
1992-03-12,403.89,404.03,404.72,401.94,124878600
1992-03-13,405.84,404.79,406.69,403.92,119554400
1992-03-16,406.39,405.85,406.4,403.55,106301600
1992-03-17,409.58,406.39,409.72,406.39,129355200
1992-03-18,409.15,409.58,410.84,408.23,134584304
1992-03-19,409.8,409.15,410.57,409.12,135761904
1992-03-20,411.3,409.8,411.3,408.53,195210592
1992-03-23,409.91,411.29,411.29,408.87,108312400
1992-03-24,408.88,409.91,411.43,407.99,137584000
1992-03-25,407.52,408.88,409.87,407.52,144858304
1992-03-26,407.86,407.52,409.44,406.75,122295400
1992-03-27,403.5,407.86,407.86,402.87,129902600
1992-03-30,403,403.5,404.3,402.97,101706800
1992-03-31,403.69,403.03,405.21,402.22,125891696
1992-04-01,404.23,403.67,404.5,400.75,131474096
1992-04-02,400.5,404.17,404.63,399.28,140848304
1992-04-03,401.55,400.5,401.59,398.21,145604400
1992-04-06,405.59,401.54,405.93,401.52,138670896
1992-04-07,398.06,405.59,405.75,397.97,153047696
1992-04-08,394.5,398.05,398.05,392.41,192532896
1992-04-09,400.64,394.5,401.04,394.5,164037600
1992-04-10,404.29,400.59,405.12,400.59,148051200
1992-04-13,406.08,404.28,406.08,403.9,104309296
1992-04-14,412.39,406.08,413.86,406.08,177306304
1992-04-15,416.28,412.39,416.28,412.39,173684992
1992-04-16,416.05,416.28,416.28,413.4,179824400
1992-04-17,416.05,416.28,416.28,413.4,179824400
1992-04-20,410.16,416.05,416.05,407.93,148356096
1992-04-21,410.26,410.16,411.09,408.2,161400992
1992-04-22,409.81,410.26,411.3,409.23,161420896
1992-04-23,411.6,409.81,411.6,406.86,171296992
1992-04-24,409.02,411.6,412.48,408.74,151525600
1992-04-27,408.45,409.03,409.6,407.64,129142896
1992-04-28,409.11,408.45,409.69,406.33,138715200
1992-04-29,412.02,409.11,412.31,409.11,148463008
1992-04-30,414.95,412.02,414.95,412.02,161128992
1992-05-01,412.53,414.95,415.21,409.87,130027904
1992-05-04,416.91,412.54,417.84,412.54,125425296
1992-05-05,416.84,416.91,418.53,415.77,147570304
1992-05-06,416.79,416.84,418.48,416.4,135104608
1992-05-07,415.85,416.79,416.84,415.38,116646800
1992-05-08,416.05,415.87,416.85,414.41,113370496
1992-05-11,418.49,416.05,418.75,416.05,106176096
1992-05-12,416.29,418.49,418.68,414.69,132538304
1992-05-13,416.45,416.29,417.04,415.86,115925904
1992-05-14,413.14,416.45,416.52,411.82,147497792
1992-05-15,410.09,413.14,413.14,409.85,149574096
1992-05-18,412.81,410.09,413.34,410.09,104070000
1992-05-19,416.37,412.82,416.51,412.26,134338496
1992-05-20,415.39,416.37,416.83,415.37,131321904
1992-05-21,412.6,415.4,415.41,411.57,123456200
1992-05-22,414.02,412.61,414.82,412.6,101932200
1992-05-25,414.02,412.61,414.82,412.6,101932200
1992-05-26,411.41,414.02,414.02,410.23,145223600
1992-05-27,412.17,411.41,412.68,411.06,128536304
1992-05-28,416.74,412.17,416.77,411.81,140605792
1992-05-29,415.35,416.74,418.36,415.35,141820704
1992-06-01,417.3,415.35,417.3,412.44,133117296
1992-06-02,413.5,417.3,417.3,413.5,147620400
1992-06-03,414.59,413.5,416.54,413.04,157733408
1992-06-04,413.26,414.6,414.98,412.97,148524608
1992-06-05,413.48,413.26,413.85,410.97,151035392
1992-06-08,413.36,413.48,413.95,412.03,119483200
1992-06-09,410.06,413.4,413.56,409.3,138328000
1992-06-10,407.25,410.06,410.1,406.81,149270496
1992-06-11,409.05,407.25,409.05,406.11,144085408
1992-06-12,409.76,409.08,411.86,409.08,136737504
1992-06-15,410.29,409.76,411.68,408.13,114534704
1992-06-16,408.32,410.29,411.4,408.32,127551400
1992-06-17,402.26,408.33,408.33,401.98,152723504
1992-06-18,400.96,402.26,402.68,400.51,162234704
1992-06-19,403.67,400.96,404.23,400.96,185124000
1992-06-22,403.4,403.64,403.64,399.92,131788600
1992-06-23,404.04,403.4,405.41,403.4,142776400
1992-06-24,403.83,404.05,404.76,403.26,137355008
1992-06-25,403.12,403.83,405.53,402.01,133466496
1992-06-26,403.45,403.12,403.51,401.94,104622200
1992-06-29,408.94,403.47,408.96,403.47,126685104
1992-06-30,408.14,408.94,409.63,407.85,137922704
1992-07-01,412.88,408.2,412.88,408.2,157945408
1992-07-02,411.77,412.88,415.71,410.07,166422704
1992-07-03,411.77,412.88,415.71,410.07,1063700
1992-07-06,413.84,411.77,413.84,410.46,137949792
1992-07-07,409.16,413.83,415.33,408.58,160724992
