Dates,LBUSTRUU Index,LUATTRUU Index,LF98TRUU Index,LEGATRUU Index,EMUSTRUU Index,BEBGTRUU Index
12/31/1991,502.05,585.4,262.31,129.0565,,
1/1/1992,502.05,585.4,262.31,129.0565,,
1/2/1992,500.96,585.4,262.31,129.0565,,
1/3/1992,500.21,585.4,262.31,129.0565,,
1/6/1992,501.36,585.4,262.31,129.0565,,
1/7/1992,502.97,585.4,262.31,129.0565,,
1/8/1992,502.72,585.4,262.31,129.0565,,
1/9/1992,502.22,585.4,262.31,129.0565,,
1/10/1992,501.01,585.4,262.31,129.0565,,
1/13/1992,499.91,585.4,262.31,129.0565,,
1/14/1992,498.2,585.4,262.31,129.0565,,
1/15/1992,497.9,585.4,262.31,129.0565,,
1/16/1992,496.69,585.4,262.31,129.0565,,
1/17/1992,497.25,585.4,262.31,129.0565,,
1/20/1992,497.25,585.4,262.31,129.0565,,
1/21/1992,499.05,585.4,262.31,129.0565,,
1/22/1992,498.25,585.4,262.31,129.0565,,
1/23/1992,496.39,585.4,262.31,129.0565,,
1/24/1992,495.59,585.4,262.31,129.0565,,
1/27/1992,495.69,585.4,262.31,129.0565,,
1/28/1992,497.2,585.4,262.31,129.0565,,
1/29/1992,495.34,585.4,262.31,129.0565,,
1/30/1992,494.69,585.4,262.31,129.0565,,
1/31/1992,495.22,576.03,271.55,127.0646,,
2/3/1992,494.4,576.03,271.55,127.0646,,
2/4/1992,496.03,576.03,271.55,127.0646,,
2/5/1992,497.22,576.03,271.55,127.0646,,
2/6/1992,497.67,576.03,271.55,127.0646,,
2/7/1992,497.91,576.03,271.55,127.0646,,
2/10/1992,498.01,576.03,271.55,127.0646,,
2/11/1992,497.77,576.03,271.55,127.0646,,
2/12/1992,497.17,576.03,271.55,127.0646,,
2/13/1992,494.64,576.03,271.55,127.0646,,
2/14/1992,494.64,576.03,271.55,127.0646,,
2/17/1992,494.64,576.03,271.55,127.0646,,
2/18/1992,493.95,576.03,271.55,127.0646,,
2/19/1992,494.69,576.03,271.55,127.0646,,
2/20/1992,495.19,576.03,271.55,127.0646,,
2/21/1992,493.95,576.03,271.55,127.0646,,
2/24/1992,493.56,576.03,271.55,127.0646,,
2/25/1992,494.5,576.03,271.55,127.0646,,
2/26/1992,496.72,576.03,271.55,127.0646,,
2/27/1992,496.63,576.03,271.55,127.0646,,
2/28/1992,498.44,578.26,278.25,127.0592,,
3/2/1992,495.92,578.26,278.25,127.0592,,
3/3/1992,495.37,578.26,278.25,127.0592,,
3/4/1992,495.57,578.26,278.25,127.0592,,
3/5/1992,494.02,578.26,278.25,127.0592,,
3/6/1992,494.67,578.26,278.25,127.0592,,
3/9/1992,496.22,578.26,278.25,127.0592,,
3/10/1992,496.17,578.26,278.25,127.0592,,
3/11/1992,494.62,578.26,278.25,127.0592,,
3/12/1992,492.38,578.26,278.25,127.0592,,
3/13/1992,490.83,578.26,278.25,127.0592,,
3/16/1992,490.98,578.26,278.25,127.0592,,
3/17/1992,492.23,578.26,278.25,127.0592,,
3/18/1992,492.68,578.26,278.25,127.0592,,
3/19/1992,493.63,578.26,278.25,127.0592,,
3/20/1992,492.28,578.26,278.25,127.0592,,
3/23/1992,492.73,578.26,278.25,127.0592,,
3/24/1992,494.97,578.26,278.25,127.0592,,
3/25/1992,495.42,578.26,278.25,127.0592,,
3/26/1992,494.67,578.26,278.25,127.0592,,
3/27/1992,495.37,578.26,278.25,127.0592,,
3/30/1992,495.97,578.26,278.25,127.0592,,
3/31/1992,495.63,574.79,281.7,125.9713,,
4/1/1992,497.83,574.79,281.7,125.9713,,
4/2/1992,497.59,574.79,281.7,125.9713,,
4/3/1992,499.37,574.79,281.7,125.9713,,
4/6/1992,499.92,574.79,281.7,125.9713,,
4/7/1992,500.02,574.79,281.7,125.9713,,
4/8/1992,499.52,574.79,281.7,125.9713,,
4/9/1992,502.49,574.79,281.7,125.9713,,
4/10/1992,501.9,574.79,281.7,125.9713,,
4/13/1992,503.09,574.79,281.7,125.9713,,
4/14/1992,502.84,574.79,281.7,125.9713,,
4/15/1992,502.44,574.79,281.7,125.9713,,
4/16/1992,500.86,574.79,281.7,125.9713,,
4/17/1992,500.86,574.79,281.7,125.9713,,
4/20/1992,498.53,574.79,281.7,125.9713,,
4/21/1992,498.83,574.79,281.7,125.9713,,
4/22/1992,499.12,574.79,281.7,125.9713,,
4/23/1992,498.83,574.79,281.7,125.9713,,
4/24/1992,499.72,574.79,281.7,125.9713,,
4/27/1992,498.97,574.79,281.7,125.9713,,
4/28/1992,499.72,574.79,281.7,125.9713,,
4/29/1992,499.62,574.79,281.7,125.9713,,
4/30/1992,499.21,578.39,282.77,126.7909,,
5/1/1992,501.08,578.39,282.77,126.7909,,
5/4/1992,501.18,578.39,282.77,126.7909,,
5/5/1992,501.68,578.39,282.77,126.7909,,
5/6/1992,503.07,578.39,282.77,126.7909,,
5/7/1992,502.72,578.39,282.77,126.7909,,
5/8/1992,504.67,578.39,282.77,126.7909,,
5/11/1992,505.52,578.39,282.77,126.7909,,
5/12/1992,506.62,578.39,282.77,126.7909,,
5/13/1992,506.87,578.39,282.77,126.7909,,
5/14/1992,506.72,578.39,282.77,126.7909,,
5/15/1992,508.07,578.39,282.77,126.7909,,
5/18/1992,508.37,578.39,282.77,126.7909,,
5/19/1992,510.21,578.39,282.77,126.7909,,
5/20/1992,509.22,578.39,282.77,126.7909,,
5/21/1992,506.52,578.39,282.77,126.7909,,
5/22/1992,507.27,578.39,282.77,126.7909,,
5/25/1992,507.27,578.39,282.77,126.7909,,
5/26/1992,505.22,578.39,282.77,126.7909,,
5/27/1992,506.07,578.39,282.77,126.7909,,
5/28/1992,507.47,578.39,282.77,126.7909,,
5/29/1992,508.63,589.02,286.76,130.3797,,
6/1/1992,507.33,589.02,286.76,130.3797,,
6/2/1992,508.34,589.02,286.76,130.3797,,
6/3/1992,508.65,589.02,286.76,130.3797,,
6/4/1992,508.9,589.02,286.76,130.3797,,
6/5/1992,509.97,589.02,286.76,130.3797,,
6/8/1992,510.33,589.02,286.76,130.3797,,
6/9/1992,509.72,589.02,286.76,130.3797,,
6/10/1992,509.41,589.02,286.76,130.3797,,
6/11/1992,510.07,589.02,286.76,130.3797,,
6/12/1992,511.09,589.02,286.76,130.3797,,
6/15/1992,511.6,589.02,286.76,130.3797,,
6/16/1992,512.52,589.02,286.76,130.3797,,
6/17/1992,512.92,589.02,286.76,130.3797,,
6/18/1992,513.84,589.02,286.76,130.3797,,
6/19/1992,512.82,589.02,286.76,130.3797,,
6/22/1992,513.18,589.02,286.76,130.3797,,
6/23/1992,512.52,589.02,286.76,130.3797,,
6/24/1992,513.99,589.02,286.76,130.3797,,
6/25/1992,515.52,589.02,286.76,130.3797,,
6/26/1992,515.16,589.02,286.76,130.3797,,
6/29/1992,515.98,589.02,286.76,130.3797,,
6/30/1992,515.63,597.55,289.46,133.3482,,
7/1/1992,516.58,597.55,289.46,133.3482,,
7/2/1992,520.86,597.55,289.46,133.3482,,
7/3/1992,520.86,597.55,289.46,133.3482,,
7/6/1992,521.79,597.55,289.46,133.3482,,
7/7/1992,522.56,597.55,289.46,133.3482,,
7/8/1992,522.25,597.55,289.46,133.3482,,
7/9/1992,522.46,597.55,289.46,133.3482,,
7/10/1992,522.35,597.55,289.46,133.3482,,
7/13/1992,521.84,597.55,289.46,133.3482,,
7/14/1992,522.1,597.55,289.46,133.3482,,
7/15/1992,523.85,597.55,289.46,133.3482,,
7/16/1992,524.36,597.55,289.46,133.3482,,
7/17/1992,523.59,597.55,289.46,133.3482,,
7/20/1992,523.95,597.55,289.46,133.3482,,
7/21/1992,524.05,597.55,289.46,133.3482,,
7/22/1992,525.34,597.55,289.46,133.3482,,
7/23/1992,527.72,597.55,289.46,133.3482,,
7/24/1992,527.1,597.55,289.46,133.3482,,
7/27/1992,527.87,597.55,289.46,133.3482,,
7/28/1992,528.95,597.55,289.46,133.3482,,
7/29/1992,528.95,597.55,289.46,133.3482,,
7/30/1992,526.74,597.55,289.46,133.3482,,
7/31/1992,526.15,612.79,293.83,136.0934,,
8/3/1992,526.54,612.79,293.83,136.0934,,
8/4/1992,528.12,612.79,293.83,136.0934,,
8/5/1992,528.54,612.79,293.83,136.0934,,
8/6/1992,528.44,612.79,293.83,136.0934,,
8/7/1992,530.44,612.79,293.83,136.0934,,
8/10/1992,531.91,612.79,293.83,136.0934,,
8/11/1992,532.38,612.79,293.83,136.0934,,
8/12/1992,531.96,612.79,293.83,136.0934,,
8/13/1992,530.33,612.79,293.83,136.0934,,
8/14/1992,531.44,612.79,293.83,136.0934,,
8/17/1992,531.23,612.79,293.83,136.0934,,
8/18/1992,533.12,612.79,293.83,136.0934,,
8/19/1992,533.49,612.79,293.83,136.0934,,
8/20/1992,533.96,612.79,293.83,136.0934,,
8/21/1992,532.33,612.79,293.83,136.0934,,
8/24/1992,529.49,612.79,293.83,136.0934,,
8/25/1992,528.86,612.79,293.83,136.0934,,
8/26/1992,529.91,612.79,293.83,136.0934,,
8/27/1992,530.86,612.79,293.83,136.0934,,
8/28/1992,531.33,612.79,293.83,136.0934,,
8/31/1992,531.48,618.59,297.68,138.9829,,
9/1/1992,532.99,618.59,297.68,138.9829,,
9/2/1992,533.68,618.59,297.68,138.9829,,
9/3/1992,533.79,618.59,297.68,138.9829,,
9/4/1992,537.13,618.59,297.68,138.9829,,
9/7/1992,537.13,618.59,297.68,138.9829,,
9/8/1992,539.42,618.59,297.68,138.9829,,
9/9/1992,538.46,618.59,297.68,138.9829,,
9/10/1992,538.62,618.59,297.68,138.9829,,
9/11/1992,537.56,618.59,297.68,138.9829,,
9/14/1992,538.57,618.59,297.68,138.9829,,
