Dates,RIY_PE,RTY_PE,SPX_PE,RIY_P_CF,RTY_P_CF,SPX_P_CF,RIY_P_BV,RTY_P_BV,SPX_P_BV,RIY_ROIC,RTY_ROIC,SPX_ROIC
12/31/1992,,,24.4126,,,8.7218,,,2.5094,,,
1/1/1993,,,24.4126,,,8.7218,,,2.5094,,,
1/4/1993,,,24.3163,,,8.7081,,,2.5113,,,
1/5/1993,,,24.2562,,,8.6863,,,2.5052,,,
1/6/1993,,,24.2576,,,8.6902,,,2.5054,,,
1/7/1993,,,24.0395,,,8.6114,,,2.4826,,,
1/8/1993,,,23.9445,,,8.5783,,,2.473,,,
1/11/1993,,,24.0493,,,8.6164,,,2.4839,,,
1/12/1993,,,24.0584,,,8.6188,,,2.4845,,,
1/13/1993,,,24.1668,,,8.6557,,,2.4952,,,
1/14/1993,,,24.3063,,,8.7055,,,2.5094,,,
1/15/1993,,,24.375,,,8.7314,,,2.5169,,,
1/18/1993,,,24.3576,,,8.7254,,,2.515,,,
1/19/1993,,,24.3262,,,8.7139,,,2.5117,,,
1/20/1993,,,24.227,,,8.6802,,,2.5021,,,
1/21/1993,,,24.3466,,,8.7236,,,2.5146,,,
1/22/1993,,,24.3793,,,8.7352,,,2.5184,,,
1/25/1993,,,24.6015,,,8.8157,,,2.5416,,,
1/26/1993,,,24.5993,,,8.8157,,,2.5417,,,
1/27/1993,,,24.491,,,8.7813,,,2.5328,,,
1/28/1993,,,24.53,,,8.7964,,,2.537,,,
1/29/1993,,,24.4853,,,8.782,,,2.5327,,,
2/1/1993,,,24.5192,,,8.8385,,,2.5542,,,
2/2/1993,,,24.5123,,,8.8365,,,2.5536,,,
2/3/1993,,,24.764,,,8.929,,,2.5802,,,
2/4/1993,,,24.8936,,,8.9741,,,2.5931,,,
2/5/1993,,,24.8762,,,8.9653,,,2.5905,,,
2/8/1993,,,24.8126,,,8.9431,,,2.5841,,,
2/9/1993,,,24.6786,,,8.8938,,,2.5699,,,
2/10/1993,,,24.7228,,,8.909,,,2.5743,,,
2/11/1993,,,24.8021,,,8.9376,,,2.5826,,,
2/12/1993,,,24.6342,,,8.8755,,,2.5645,,,
2/15/1993,,,24.6342,,,8.8755,,,2.5645,,,
2/16/1993,,,24.0603,,,8.6637,,,2.5035,,,
2/17/1993,,,24.0244,,,8.6511,,,2.4999,,,
2/18/1993,,,23.9482,,,8.6217,,,2.4914,,,
2/19/1993,,,24.065,,,8.6627,,,2.5032,,,
2/22/1993,,,24.1246,,,8.6835,,,2.5092,,,
2/23/1993,,,24.1018,,,8.6737,,,2.5065,,,
2/24/1993,,,24.4394,,,8.7959,,,2.5417,,,
2/25/1993,,,24.5178,,,8.8254,,,2.5503,,,
2/26/1993,,,24.5244,,,8.8252,,,2.5524,,,
3/1/1993,,,24.4896,,,8.8103,,,2.5535,,,
3/2/1993,,,24.8174,,,8.9272,,,2.5879,,,
3/3/1993,,,24.8821,,,8.9516,,,2.5951,,,
3/4/1993,,,24.7828,,,8.9157,,,2.5846,,,
3/5/1993,,,24.7143,,,8.8907,,,2.5773,,,
3/8/1993,,,25.1884,,,9.0641,,,2.6275,,,
3/9/1993,,,25.1534,,,9.0536,,,2.6245,,,
3/10/1993,,,25.2579,,,9.0919,,,2.6356,,,
3/11/1993,,,25.1035,,,9.0368,,,2.6197,,,
3/12/1993,,,24.8853,,,8.9581,,,2.5968,,,
3/15/1993,,,24.9768,,,8.9898,,,2.606,,,
3/16/1993,,,24.9799,,,8.987,,,2.6051,,,
3/17/1993,,,24.8198,,,8.9295,,,2.5885,,,
3/18/1993,,,25.0228,,,9.0022,,,2.6095,,,
