Dates,SPX_ImpVol_Call,RTY_ImpVol_Call
3/1/1994,12.62,
3/2/1994,13.31,
3/3/1994,14.11,
3/4/1994,13.74,
3/7/1994,12.99,
3/8/1994,12.35,
3/9/1994,12.62,
3/10/1994,13.92,
3/11/1994,12.48,
3/14/1994,12.38,
3/15/1994,11.96,
3/16/1994,11.73,
3/17/1994,9.97,
3/18/1994,8.93,
3/21/1994,11.96,
3/22/1994,12.85,
3/23/1994,12.63,
3/24/1994,12.03,
3/25/1994,12.03,
3/28/1994,12.03,
3/29/1994,13.39,
3/30/1994,16.99,
3/31/1994,15.84,
4/1/1994,15.84,
4/4/1994,18.37,
4/5/1994,14.65,
4/6/1994,13.8,
4/7/1994,12.85,
4/8/1994,13.8,
4/11/1994,14.41,
4/12/1994,12.84,
4/13/1994,12.88,
4/14/1994,12.88,
4/15/1994,12.27,
4/18/1994,13.71,
4/19/1994,14.97,
4/20/1994,14.66,
4/21/1994,13.36,
4/22/1994,13.19,
4/25/1994,11.37,
4/26/1994,10.81,
4/27/1994,10.81,
4/28/1994,12.16,
4/29/1994,10.75,
5/2/1994,12.04,
5/3/1994,11.55,
5/4/1994,11.9,
5/5/1994,11.83,
5/6/1994,11.55,
5/9/1994,14.13,
5/10/1994,12.28,
5/11/1994,12.62,
5/12/1994,12.62,
5/13/1994,11.93,
5/16/1994,12.27,
5/17/1994,12,
5/18/1994,10.65,
5/19/1994,10.04,
5/20/1994,10.01,
5/23/1994,10.01,
5/24/1994,11.23,
5/25/1994,9.4,
5/26/1994,10.02,
5/27/1994,9.33,
5/30/1994,9.33,
5/31/1994,10.71,
6/1/1994,10.55,
6/2/1994,10.33,
6/3/1994,9.77,
6/6/1994,11.83,
6/7/1994,10.82,
6/8/1994,10.09,
6/9/1994,10.28,
6/10/1994,10.08,
6/13/1994,10.31,
6/14/1994,9.49,
6/15/1994,9.49,
6/16/1994,8.51,
6/17/1994,10.3,
6/20/1994,11.16,
6/21/1994,12.01,
6/22/1994,11.65,
6/23/1994,12.79,
6/24/1994,11.69,
6/27/1994,13.34,
6/28/1994,12.74,
6/29/1994,13.54,
6/30/1994,13.24,
7/1/1994,11.57,
7/4/1994,11.57,
7/5/1994,12.13,
7/6/1994,12.44,
7/7/1994,11.73,
7/8/1994,10.61,
7/11/1994,10.61,
7/12/1994,11.39,
7/13/1994,11.3,
7/14/1994,10.16,
7/15/1994,9.68,
7/18/1994,9,
7/19/1994,10.79,
7/20/1994,10.13,
7/21/1994,10.03,
7/22/1994,9.51,
7/25/1994,9.38,
7/26/1994,10.13,
7/27/1994,10.35,
7/28/1994,11.29,
7/29/1994,11.29,
8/1/1994,9.42,
