Dates,INJCJC Index
1993-01-08,354
1993-01-15,352
1993-01-22,341
1993-01-29,340
1993-02-05,319
1993-02-12,321
1993-02-19,351
1993-02-26,362
1993-03-05,354
1993-03-12,346
1993-03-19,338
1993-03-26,366
1993-04-02,365
1993-04-09,353
1993-04-16,351
1993-04-23,350
1993-04-30,343
1993-05-07,339
1993-05-14,345
1993-05-21,342
1993-05-28,349
1993-06-04,343
1993-06-11,343
1993-06-18,345
1993-06-25,340
1993-07-02,334
1993-07-09,314
1993-07-16,335
1993-07-23,415
1993-07-30,356
1993-08-06,346
1993-08-13,339
1993-08-20,342
1993-08-27,337
1993-09-03,334
1993-09-10,333
1993-09-17,346
1993-09-24,343
1993-10-01,333
1993-10-08,355
1993-10-15,359
1993-10-22,354
1993-10-29,348
1993-11-05,350
1993-11-12,341
1993-11-19,336
1993-11-26,337
1993-12-03,337
1993-12-10,334
1993-12-17,331
1993-12-24,290
1993-12-31,341
1994-01-07,343
1994-01-14,355
1994-01-21,351
1994-01-28,406
1994-02-04,361
1994-02-11,354
1994-02-18,352
1994-02-25,327
1994-03-04,348
1994-03-11,341
1994-03-18,332
1994-03-25,322
1994-04-01,342
1994-04-08,349
1994-04-15,354
1994-04-22,331
1994-04-29,344
1994-05-06,371
1994-05-13,360
1994-05-20,357
1994-05-27,348
1994-06-03,345
1994-06-10,338
1994-06-17,336
1994-06-24,341
1994-07-01,334
1994-07-08,341
1994-07-15,359
1994-07-22,345
1994-07-29,332
1994-08-05,338
1994-08-12,335
1994-08-19,331
1994-08-26,341
1994-09-02,339
1994-09-09,331
1994-09-16,326
1994-09-23,325
1994-09-30,330
1994-10-07,341
1994-10-14,335
1994-10-21,330
1994-10-28,331
1994-11-04,328
1994-11-11,329
1994-11-18,326
1994-11-25,329
1994-12-02,324
1994-12-09,329
1994-12-16,330
1994-12-23,314
1994-12-30,319
1995-01-06,338
1995-01-13,347
1995-01-20,325
1995-01-27,324
1995-02-03,324
1995-02-10,348
1995-02-17,343
1995-02-24,336
1995-03-03,339
1995-03-10,347
1995-03-17,343
1995-03-24,332
1995-03-31,335
1995-04-07,347
1995-04-14,355
1995-04-21,349
1995-04-28,365
1995-05-05,364
1995-05-12,366
1995-05-19,377
1995-05-26,374
1995-06-02,362
1995-06-09,367
1995-06-16,378
1995-06-23,358
1995-06-30,355
1995-07-07,372
1995-07-14,389
1995-07-21,390
1995-07-28,351
1995-08-04,351
1995-08-11,353
1995-08-18,362
1995-08-25,359
1995-09-01,355
1995-09-08,371
1995-09-15,376
1995-09-22,353
1995-09-29,355
1995-10-06,374
1995-10-13,369
1995-10-20,366
1995-10-27,377
1995-11-03,380
1995-11-10,370
1995-11-17,379
1995-11-24,379
1995-12-01,373
1995-12-08,346
1995-12-15,373
1995-12-22,374
1995-12-29,359
1996-01-05,361
1996-01-12,333
1996-01-19,415
1996-01-26,387
1996-02-02,374
1996-02-09,387
1996-02-16,383
1996-02-23,365
1996-03-01,368
1996-03-08,361
1996-03-15,384
1996-03-22,426
1996-03-29,393
1996-04-05,369
1996-04-12,357
1996-04-19,368
1996-04-26,343
1996-05-03,338
1996-05-10,352
1996-05-17,345
1996-05-24,343
1996-05-31,340
1996-06-07,351
1996-06-14,342
1996-06-21,341
1996-06-28,337
1996-07-05,342
1996-07-12,347
1996-07-19,332
1996-07-26,327
1996-08-02,326
1996-08-09,331
1996-08-16,336
1996-08-23,337
1996-08-30,329
1996-09-06,333
1996-09-13,338
1996-09-20,352
1996-09-27,348
1996-10-04,335
1996-10-11,334
1996-10-18,335
1996-10-25,352
1996-11-01,334
1996-11-08,327
1996-11-15,342
1996-11-22,347
1996-11-29,332
1996-12-06,355
1996-12-13,352
1996-12-20,350
1996-12-27,357
1997-01-03,347
1997-01-10,324
1997-01-17,345
1997-01-24,340
1997-01-31,333
1997-02-07,315
1997-02-14,313
1997-02-21,322
1997-02-28,321
1997-03-07,317
1997-03-14,319
1997-03-21,315
1997-03-28,325
1997-04-04,325
1997-04-11,330
1997-04-18,316
1997-04-25,337
1997-05-02,342
1997-05-09,318
1997-05-16,322
1997-05-23,316
1997-05-30,321
1997-06-06,329
1997-06-13,335
1997-06-20,316
1997-06-27,322
1997-07-04,346
1997-07-11,328
1997-07-18,301
1997-07-25,306
1997-08-01,320
1997-08-08,329
1997-08-15,343
1997-08-22,327
1997-08-29,332
1997-09-05,313
1997-09-12,314
1997-09-19,317
1997-09-26,317
1997-10-03,311
1997-10-10,305
1997-10-17,318
1997-10-24,306
1997-10-31,313
1997-11-07,308
1997-11-14,325
1997-11-21,309
1997-11-28,318
1997-12-05,317
1997-12-12,323
1997-12-19,310
1997-12-26,303
1998-01-02,312
1998-01-09,331
1998-01-16,341
1998-01-23,307
1998-01-30,315
1998-02-06,311
1998-02-13,321
1998-02-20,327
1998-02-27,317
1998-03-06,308
1998-03-13,319
1998-03-20,321
1998-03-27,312
1998-04-03,312
1998-04-10,304
1998-04-17,317
1998-04-24,311
1998-05-01,304
1998-05-08,306
1998-05-15,315
1998-05-22,309
1998-05-29,322
1998-06-05,306
1998-06-12,321
1998-06-19,349
1998-06-26,376
1998-07-03,362
1998-07-10,320
1998-07-17,315
1998-07-24,335
1998-07-31,327
1998-08-07,316
1998-08-14,308
1998-08-21,302
1998-08-28,310
1998-09-04,313
1998-09-11,304
1998-09-18,305
1998-09-25,294
1998-10-02,302
1998-10-09,316
1998-10-16,318
1998-10-23,309
1998-10-30,308
1998-11-06,316
1998-11-13,334
1998-11-20,304
1998-11-27,310
1998-12-04,326
1998-12-11,305
1998-12-18,297
1998-12-25,336
1999-01-01,331
1999-01-08,345
1999-01-15,339
1999-01-22,311
1999-01-29,305
1999-02-05,291
1999-02-12,312
1999-02-19,302
1999-02-26,301
1999-03-05,300
1999-03-12,308
1999-03-19,305
1999-03-26,298
1999-04-02,310
1999-04-09,319
1999-04-16,314
1999-04-23,291
1999-04-30,296
1999-05-07,310
1999-05-14,301
1999-05-21,298
1999-05-28,303
1999-06-04,303
1999-06-11,290
1999-06-18,292
1999-06-25,291
1999-07-02,287
1999-07-09,288
1999-07-16,309
1999-07-23,306
1999-07-30,300
1999-08-06,295
1999-08-13,292
1999-08-20,286
1999-08-27,290
1999-09-03,290
1999-09-10,281
1999-09-17,281
1999-09-24,306
1999-10-01,309
1999-10-08,291
1999-10-15,287
1999-10-22,280
1999-10-29,285
1999-11-05,282
1999-11-12,281
1999-11-19,276
1999-11-26,288
1999-12-03,287
1999-12-10,272
1999-12-17,287
1999-12-24,268
1999-12-31,286
2000-01-07,298
2000-01-14,289
2000-01-21,284
2000-01-28,285
2000-02-04,312
2000-02-11,300
2000-02-18,283
2000-02-25,280
2000-03-03,286
2000-03-10,270
2000-03-17,271
2000-03-24,272
2000-03-31,266
2000-04-07,268
2000-04-14,259
2000-04-21,274
2000-04-28,291
2000-05-05,293
2000-05-12,276
2000-05-19,280
2000-05-26,280
2000-06-02,290
2000-06-09,284
2000-06-16,294
2000-06-23,296
2000-06-30,281
2000-07-07,293
2000-07-14,303
2000-07-21,300
2000-07-28,298
2000-08-04,306
2000-08-11,315
2000-08-18,318
2000-08-25,312
2000-09-01,301
2000-09-08,309
2000-09-15,311
2000-09-22,288
2000-09-29,292
2000-10-06,309
2000-10-13,299
2000-10-20,295
2000-10-27,301
2000-11-03,331
2000-11-10,318
2000-11-17,332
2000-11-24,356
2000-12-01,338
2000-12-08,321
2000-12-15,354
2000-12-22,364
2000-12-29,353
2001-01-05,337
2001-01-12,318
2001-01-19,343
2001-01-26,362
2001-02-02,376
2001-02-09,365
2001-02-16,358
2001-02-23,386
2001-03-02,384
2001-03-09,393
2001-03-16,393
2001-03-23,378
2001-03-30,388
2001-04-06,398
2001-04-13,383
2001-04-20,400
2001-04-27,406
2001-05-04,381
2001-05-11,390
2001-05-18,402
2001-05-25,405
2001-06-01,406
2001-06-08,411
2001-06-15,394
2001-06-22,381
2001-06-29,394
2001-07-06,401
2001-07-13,405
2001-07-20,398
2001-07-27,388
2001-08-03,401
2001-08-10,394
2001-08-17,402
2001-08-24,395
2001-08-31,402
2001-09-07,408
2001-09-14,395
2001-09-21,453
2001-09-28,517
2001-10-05,476
