date,CL1,CO1,BCOMTR,BCOM
1999-12-31,25.6,25.08,140.257,92.2732
2000-01-03,25.6,25.08,139.993,92.0451
2000-01-04,25.55,24.39,139.178,91.4952
2000-01-05,24.91,23.73,138.44899999999998,91.0023
2000-01-06,24.78,23.62,138.52700000000002,91.04
2000-01-07,24.22,23.09,138.106,90.7495
2000-01-10,24.67,23.73,138.534,90.99
2000-01-11,25.77,24.62,140.165,92.04799999999999
2000-01-12,26.28,24.81,141.879,93.1605
2000-01-13,26.69,24.98,142.871,93.7982
2000-01-14,28.02,25.47,145.046,95.2123
2000-01-17,28.02,25.65,145.046,95.2123
2000-01-18,28.85,26.05,147.013,96.4478
2000-01-19,29.54,25.84,148.158,97.1845
2000-01-20,29.66,26.1,148.89,97.6501
2000-01-21,28.2,26.35,148.63299999999998,97.4665
2000-01-24,27.83,26.06,148.062,97.0482
2000-01-25,28.28,26.54,148.97299999999998,97.6311
2000-01-26,27.84,26.13,147.796,96.845
2000-01-27,27.32,25.62,147.985,96.9539
2000-01-28,27.22,25.68,147.335,96.5136
2000-01-31,27.64,25.97,147.861,96.8149
2000-02-01,28.22,26.39,149.006,97.5493
2000-02-02,27.55,25.93,147.876,96.7944
2000-02-03,28.03,26.66,148.417,97.1337
2000-02-04,28.82,27.07,151.24200000000002,98.9671
2000-02-07,28.45,26.88,149.336,97.6739
2000-02-08,28.02,26.37,147.459,96.4312
2000-02-09,28.77,26.92,149.352,97.654
2000-02-10,29.43,27.48,151.917,99.3157
2000-02-11,29.44,27.82,151.14600000000002,98.7966
2000-02-14,30.25,28.76,151.37,98.897
2000-02-15,30.06,27.13,150.72799999999998,98.462
2000-02-16,30.05,27.37,151.148,98.7213
2000-02-17,29.46,26.67,150.659,98.3866
2000-02-18,29.51,26.22,150.648,98.3643
2000-02-21,29.51,25.93,150.648,98.3643
2000-02-22,29.62,26.58,150.775,98.3868
2000-02-23,29.39,27.06,150.155,97.9666
2000-02-24,29.97,27.37,150.628,98.2599
2000-02-25,30.35,27.48,149.705,97.6421
2000-02-28,30.13,27.41,149.281,97.3192
2000-02-29,30.43,28.09,150.446,98.0632
2000-03-01,31.77,29.06,153.192,99.838
2000-03-02,31.69,29.22,153.009,99.7028
2000-03-03,31.51,28.99,153.615,100.08200000000001
2000-03-06,32.18,29.63,154.999,100.9356
2000-03-07,34.13,31.9,157.039,102.24799999999999
2000-03-08,31.26,28.8,152.779,99.4584
2000-03-09,31.69,29.29,154.452,100.5315
2000-03-10,31.76,28.94,153.69299999999998,100.0217
2000-03-13,32.02,28.89,154.873,100.7418
2000-03-14,31.69,28.34,154.894,100.7389
2000-03-15,30.72,27.53,153.884,100.0657
2000-03-16,31.09,27.41,154.298,100.3194
2000-03-17,30.91,26.56,154.543,100.4624
2000-03-20,29.43,25.21,151.034,98.1331
2000-03-21,28.0,25.72,151.741,98.5765
2000-03-22,27.46,25.4,151.666,98.5118
2000-03-23,27.31,25.48,151.066,98.1065
2000-03-24,28.02,25.91,152.05100000000002,98.7299
2000-03-27,27.79,25.68,151.998,98.6476
2000-03-28,27.09,25.51,151.113,98.0575
2000-03-29,26.45,24.4,149.515,97.0046
2000-03-30,26.7,24.63,150.39,97.5567
2000-03-31,26.9,24.77,151.904,98.5238
2000-04-03,26.43,24.51,150.672,97.6773
2000-04-04,25.45,23.65,148.333,96.145
2000-04-05,25.83,23.75,149.219,96.7044
2000-04-06,25.69,23.45,148.085,95.9536
2000-04-07,25.04,22.58,147.78,95.7411
2000-04-10,23.85,21.3,146.161,94.6463
2000-04-11,24.14,21.67,146.156,94.6278
2000-04-12,25.41,23.12,148.89700000000002,96.3874
2000-04-13,25.38,22.66,149.394,96.6937
2000-04-14,25.57,22.41,148.143,95.8689
2000-04-17,25.89,22.74,148.649,96.1503
2000-04-18,26.11,23.05,149.264,96.5329
2000-04-19,27.35,23.77,150.868,97.5554
2000-04-20,25.88,23.83,150.655,97.4023
2000-04-21,25.88,23.83,150.655,97.4023
2000-04-24,26.04,23.83,151.184,97.6826
2000-04-25,25.33,23.33,150.986,97.539
2000-04-26,24.65,22.98,149.77100000000002,96.7391
2000-04-27,25.42,23.76,149.809,96.7483
2000-04-28,25.74,23.89,150.039,96.8817
2000-05-01,25.87,23.89,152.645,98.5183
2000-05-02,26.89,25.08,154.62,99.7773
2000-05-03,26.75,25.0,154.095,99.4225
2000-05-04,26.98,25.15,154.83700000000002,99.8853
2000-05-05,27.29,25.29,154.65,99.7485
2000-05-08,28.09,26.08,155.487,100.2396
2000-05-09,28.65,26.82,156.43200000000002,100.8321
