date,RLG,RIY,MXEF,RTY,RLV,SML,MID,MXEU,SPX
1999-12-31,837.618,768.1010000000001,489.42,505.397,568.7819999999999,197.79,444.67,133.69,1469.25
2000-01-03,839.04,761.457,496.22,498.12199999999996,555.658,194.31,438.13,132.91,1455.22
2000-01-04,799.93,731.4,500.38,479.035,539.401,187.39,422.54,127.72,1399.42
2000-01-05,798.684,733.296,491.09,479.457,543.944,188.18,426.37,124.55,1402.11
2000-01-06,780.35,728.3639999999999,486.04,475.892,552.57,187.02,424.45,123.95,1403.45
2000-01-07,816.7289999999999,753.304,492.1,489.01099999999997,562.34,191.87,436.78,126.76,1441.47
2000-01-10,836.965,764.216,506.69,502.569,562.521,195.62,448.08,128.58,1457.6
2000-01-11,821.812,752.798,498.12,493.255,556.627,192.96,436.91,127.75,1438.56
2000-01-12,814.784,750.1489999999999,500.59,490.61300000000006,558.586,192.0,432.67,127.63,1432.25
2000-01-13,828.798,761.591,508.08,501.851,565.6030000000001,197.7,443.52,128.43,1449.68
2000-01-14,840.067,770.08,515.63,508.283,569.9830000000001,200.5,448.44,131.57,1465.15
2000-01-17,840.067,770.08,524.38,508.283,569.9830000000001,200.5,448.44,132.54,1465.15
2000-01-18,838.0260000000001,765.3760000000001,522.65,514.107,563.573,201.66,449.94,129.5,1455.14
2000-01-19,843.166,767.87,511.54,520.656,563.128,203.39,451.98,129.14,1455.9
2000-01-20,840.933,763.194,510.7,527.984,556.9490000000001,205.12,452.15,128.96,1445.57
2000-01-21,838.1289999999999,761.574,507.49,534.629,556.734,207.16,452.87,128.44,1441.36
2000-01-24,810.995,741.3639999999999,507.63,523.806,546.594,203.29,441.46,128.79,1401.53
2000-01-25,820.1619999999999,745.1089999999999,499.7,522.305,544.552,201.96,442.5,126.48,1410.03
2000-01-26,809.818,741.931,501.02,521.812,548.715,201.18,441.84,127.95,1404.09
2000-01-27,806.422,739.47,502.35,517.712,547.567,199.47,439.2,129.78,1398.56
2000-01-28,783.725,720.172,499.05,505.305,534.842,194.68,430.19,129.56,1360.16
2000-01-31,798.1010000000001,736.1089999999999,491.39,496.954,549.488,191.58,431.79,127.07,1394.46
2000-02-01,814.0989999999999,745.039,495.36,504.50800000000004,550.117,194.94,437.63,129.19,1409.28
2000-02-02,815.2360000000001,744.819,499.46,510.62,548.64,196.35,441.01,130.96,1409.12
2000-02-03,831.87,753.579,509.63,522.281,548.357,199.96,447.05,132.75,1424.97
2000-02-04,834.823,752.707,515.43,526.215,543.981,201.15,445.16,132.88,1424.37
2000-02-07,839.102,753.687,521.87,533.091,541.637,202.16,447.05,131.66,1424.24
2000-02-08,853.7180000000001,762.493,525.59,538.18,543.368,203.76,452.65,134.67,1441.72
2000-02-09,836.8760000000001,747.197,528.27,536.6569999999999,532.194,202.56,444.34,134.79,1411.7
2000-02-10,846.618,749.895,530.99,542.928,527.694,204.22,450.43,134.39,1416.83
2000-02-11,826.972,735.6419999999999,529.45,537.851,521.061,202.25,443.39,134.1,1387.12
2000-02-14,829.308,736.6469999999999,520.62,540.639,520.62,203.37,443.48,133.03,1389.94
2000-02-15,834.2819999999999,742.765,518.89,540.911,526.7719999999999,203.73,444.72,130.6,1402.05
2000-02-16,825.434,736.549,518.96,548.442,524.148,206.08,445.4,132.23,1387.67
2000-02-17,830.515,736.93,523.21,559.12,519.971,209.87,450.95,133.42,1388.26
