Dates,LBUSTRUU,LUATTRUU,LF98TRUU,LEGATRUU,EMUSTRUU,BEBGTRUU
1999-12-31,833.75,958.37,549.3,213.5597,233.075,235.12
2000-01-03,829.39,953.47,548.29,214.3113,232.0377,234.02
2000-01-04,832.53,957.56,547.66,214.7857,231.3666,233.31
2000-01-05,828.84,953.2,546.83,214.365,231.3136,233.32
2000-01-06,831.02,956.22,547.01,214.3251,230.32,232.16
2000-01-07,833.27,958.71,546.73,214.3617,232.3356,234.35
2000-01-10,831.98,957.12,546.54,214.2777,232.2148,234.25
2000-01-11,828.11,952.75,546.04,213.575,230.5267,232.46
2000-01-12,827.04,951.77,545.97,213.0977,229.6571,231.5
2000-01-13,830.78,956.36,545.91,213.6315,231.0308,232.96
2000-01-14,829.45,954.42,545.75,212.3887,230.9308,232.86
2000-01-17,829.45,954.42,545.75,212.3887,230.9308,232.86
2000-01-18,827.44,952.8,545.68,211.8943,231.377,233.39
2000-01-19,828.56,954.27,545.77,212.0598,231.6134,233.63
2000-01-20,827.42,953.19,545.55,211.9535,231.5552,233.6
2000-01-21,828.15,953.86,545.47,212.1251,232.2058,234.31
2000-01-24,831.84,957.53,546.77,212.205,232.4672,234.52
2000-01-25,832.09,958.05,546.7,212.783,232.3895,234.41
2000-01-26,832.89,959.59,546.58,212.3897,232.5502,234.57
2000-01-27,833.28,960.67,546.77,211.3708,232.5123,234.52
2000-01-28,833.71,963.18,547.16,210.5439,231.475,233.3
2000-01-31,831.02,960.87,546.93,209.9137,231.7258,233.51
2000-02-01,832.85,963.07,547.38,209.7574,231.9417,233.7
2000-02-02,833.29,964.65,547.37,209.4196,232.1895,233.96
2000-02-03,837.01,970.0,548.04,210.9046,233.9546,235.8
2000-02-04,834.8,967.97,547.84,210.2969,235.6158,237.72
2000-02-07,832.17,964.21,547.65,209.4623,236.7177,239.03
2000-02-08,834.91,968.14,548.25,210.3494,237.8117,240.21
2000-02-09,832.82,964.99,548.29,210.3345,237.4752,239.89
2000-02-10,831.01,962.1,548.08,209.7459,237.7025,240.2
2000-02-11,832.34,964.19,548.24,209.7494,238.1377,240.49
2000-02-14,835.87,968.61,548.7,210.0822,239.2465,241.65
2000-02-15,834.92,967.12,548.17,210.2335,240.1163,242.55
2000-02-16,834.2,966.98,548.18,209.8799,239.9237,242.33
2000-02-17,833.98,967.59,548.26,209.766,239.8838,242.29
2000-02-18,836.8,971.15,548.34,210.0292,239.6937,242.01
2000-02-21,836.8,971.15,548.34,210.0292,239.6937,242.01
2000-02-22,842.3,977.25,549.29,212.83599999999998,240.1438,242.38
2000-02-23,839.54,973.51,548.93,212.0274,240.4628,242.81
2000-02-24,842.36,976.68,549.32,212.1076,240.6145,242.9
2000-02-25,842.26,975.78,554.07,210.7553,241.1401,243.64
2000-02-28,839.67,973.18,549.02,210.0567,241.4361,244.02
2000-02-29,841.07,975.32,547.99,209.5158,243.1049,245.78
2000-03-01,841.86,975.5,547.73,210.7261,243.045,245.7
2000-03-02,842.06,975.83,547.72,210.4922,244.9906,247.9
2000-03-03,843.75,977.74,547.96,210.60299999999998,245.6475,248.6
2000-03-06,842.64,976.21,548.21,210.4632,245.7297,248.73
2000-03-07,843.47,977.11,548.5,210.6429,246.5223,249.59
2000-03-08,843.32,976.7,548.68,210.5754,247.7302,250.94
2000-03-09,843.92,977.56,548.93,211.9323,248.3354,251.58
2000-03-10,842.1,975.59,548.73,211.1717,247.7672,250.98
2000-03-13,842.9,976.97,548.65,211.8594,247.2914,250.4
2000-03-14,843.82,980.43,547.91,211.63299999999998,247.6609,250.74
2000-03-15,844.62,982.11,547.26,212.1208,247.1963,250.23
2000-03-16,845.8,983.68,547.2,212.7568,247.9733,251.07
2000-03-17,847.89,985.66,546.84,212.6167,248.9952,252.16
2000-03-20,848.36,986.42,547.2,212.6231,249.1161,252.27
2000-03-21,848.94,987.69,546.84,212.8631,249.9143,253.14
2000-03-22,849.03,988.15,547.05,212.0158,250.9373,254.27
2000-03-23,850.33,989.8,547.3,212.9241,250.9765,254.27
2000-03-24,846.87,984.81,547.05,212.2396,250.9861,254.38
2000-03-27,846.66,985.37,545.02,212.3089,251.1467,254.55
2000-03-28,846.7,986.14,544.41,212.4684,250.9738,254.32
2000-03-29,846.86,986.61,543.64,211.5039,250.745,254.04
