Dates,USGG30YR,USGG10YR,USGG5YR,USGG3YR,USGG2YR,USGG12M,USGG6M,USGG3M
1999-12-31,6.478,6.442,6.343999999999999,6.278,6.2139999999999995,5.957000000000001,5.732,5.327999999999999
2000-01-03,6.622000000000001,6.5920000000000005,6.502000000000001,6.421,6.3839999999999995,6.077999999999999,5.785,5.4110000000000005
2000-01-04,6.537000000000001,6.497000000000001,6.398,6.337000000000001,6.2989999999999995,6.011,5.747000000000001,5.447
2000-01-05,6.621,6.593999999999999,6.483,6.402,6.358,6.042000000000001,5.725,5.425
2000-01-06,6.553,6.524,6.417999999999999,6.33,6.2989999999999995,5.997000000000001,5.649,5.382999999999999
2000-01-07,6.546,6.515,6.4110000000000005,6.331,6.308,6.006,5.646,5.38
2000-01-10,6.584,6.5520000000000005,6.461,6.382999999999999,6.359,6.0489999999999995,5.656000000000001,5.39
2000-01-11,6.671,6.657,6.553999999999999,6.462000000000001,6.428,6.104,5.65,5.426
2000-01-12,6.718999999999999,6.702999999999999,6.605,6.502000000000001,6.472,6.125,5.704,5.446000000000001
2000-01-13,6.653,6.63,6.528,6.436,6.394,6.091,5.681,5.403
2000-01-14,6.697,6.678999999999999,6.5760000000000005,6.477,6.43,6.111000000000001,5.667000000000001,5.4
2000-01-17,6.689,6.681,6.5760000000000005,6.47,6.43,6.099,5.666,5.399
2000-01-18,6.747000000000001,6.747999999999999,6.622999999999999,6.49,6.465,6.12,5.676,5.377999999999999
2000-01-19,6.7170000000000005,6.732,6.604,6.477,6.4479999999999995,6.098,5.687,5.3260000000000005
2000-01-20,6.747000000000001,6.787999999999999,6.662999999999999,6.511,6.492000000000001,6.108,5.81,5.456
2000-01-21,6.695,6.765,6.632000000000001,6.499,6.457999999999999,6.106,5.818,5.4639999999999995
2000-01-24,6.65,6.685,6.558,6.446000000000001,6.406000000000001,6.072,5.796,5.452000000000001
2000-01-25,6.6339999999999995,6.692,6.586,6.466,6.432,6.093999999999999,5.79,5.562
2000-01-26,6.571000000000001,6.664,6.586,6.48,6.442,6.093,5.768,5.561
2000-01-27,6.519,6.692,6.669,6.547000000000001,6.506,6.147,5.7989999999999995,5.602
2000-01-28,6.452000000000001,6.6579999999999995,6.662000000000001,6.601,6.557,6.189,5.84,5.62
2000-01-31,6.4910000000000005,6.665,6.683,6.649,6.591,6.244,5.893,5.692
2000-02-01,6.422999999999999,6.619,6.671,6.629,6.574,6.277,5.9510000000000005,5.707999999999999
2000-02-02,6.284,6.5729999999999995,6.66,6.636,6.5920000000000005,6.1979999999999995,5.9079999999999995,5.645
2000-02-03,6.136,6.489,6.507000000000001,6.556,6.523,6.141,5.832000000000001,5.612
2000-02-04,6.271,6.5489999999999995,6.653,6.665,6.617999999999999,6.195,5.947,5.662000000000001
2000-02-07,6.3420000000000005,6.638999999999999,6.737,6.712999999999999,6.67,6.216,5.936,5.619
2000-02-08,6.231,6.6129999999999995,6.733,6.7139999999999995,6.678,6.193,6.005,5.6770000000000005
2000-02-09,6.314,6.66,6.718,6.681,6.653,6.17,5.984,5.6339999999999995
2000-02-10,6.428999999999999,6.671,6.774,6.695,6.662000000000001,6.18,5.961,5.654
2000-02-11,6.269,6.604,6.704,6.693,6.645,6.167000000000001,5.968999999999999,5.631
2000-02-14,6.227,6.553999999999999,6.676,6.67,6.619,6.1770000000000005,5.968,5.619
