Dates,RIY_PE,RTY_PE,SPX_PE,RIY_P_CF,RTY_P_CF,SPX_P_CF,RIY_P_BV,RTY_P_BV,SPX_P_BV
1999-12-31,29.2677,34.1938,29.3242,16.5698,13.3626,16.902,4.7014,1.9985,4.9863
2000-01-03,28.9454,33.6396,28.9627,16.4037,13.128,16.7169,4.6452,1.9685,4.9218
2000-01-04,27.8134,32.3525,27.863000000000003,15.7621,12.6315,16.0752,4.4647,1.8931,4.734
2000-01-05,27.8929,32.4006,27.9283,15.8086,12.6465,16.1128,4.4793,1.8953,4.7456
2000-01-06,27.7275,32.1649,27.985,15.7148,12.5545,16.1466,4.4525,1.8812,4.7533
2000-01-07,28.6826,33.0578,28.7458,16.2562,12.9016,16.5855,4.6058,1.9333,4.882
2000-01-10,29.1094,33.9783,29.0754,16.4982,13.2537,16.7757,4.6712,1.9871,4.938
2000-01-11,28.7038,33.3637,28.73,16.2682,13.0122,16.5764,4.6069,1.9503,4.8779
2000-01-12,28.6296,33.1833,28.6255,16.2225,12.9418,16.5162,4.5973,1.9398,4.8614
2000-01-13,29.0461,33.9428,28.9506,16.4585,13.2378,16.7037,4.6645,1.9845,4.917
2000-01-14,29.4033,34.3927,29.2739,16.6613,13.412,16.8896,4.7221,2.0102,4.9716
2000-01-17,29.4033,34.3927,29.2739,16.6613,13.412,16.8896,4.7221,2.0102,4.9716
2000-01-18,29.2396,34.8031,29.0894,16.5678,13.568,16.7831,4.6958,2.0332,4.94
2000-01-19,29.3562,35.2441,29.0811,16.6286,13.7406,16.7783,4.7109,2.0589,4.9387
2000-01-20,29.1787,35.7359,28.881999999999998,16.5281,13.9325,16.6645,4.6818,2.0875,4.9027
2000-01-21,29.1091,36.1821,28.7913,16.4901,14.1066,16.6122,4.6693,2.1137,4.8875
2000-01-24,28.3371,35.4815,27.996,16.0527,13.8262,16.1533,4.5448,2.0707,4.7531
2000-01-25,28.4864,35.3847,28.1713,16.1373,13.7865,16.2544,4.5705,2.0651,4.7827
2000-01-26,28.3605,35.3473,28.0487,16.0724,13.7721,16.1904,4.5499,2.063,4.7619
2000-01-27,28.3973,35.0439,27.9329,15.6047,13.6621,16.124000000000002,4.5481,2.0468,4.7419
2000-01-28,27.655,34.2226,27.1652,15.1958,13.3532,15.6796,4.4289,1.9980000000000002,4.6107
2000-01-31,28.090999999999998,33.8641,27.8622,15.9394,13.2442,16.1017,4.5058,1.9644,4.7291
2000-02-01,28.4451,34.356,28.1731,16.1403,13.4405,16.2813,4.5613,1.9946,4.7812
2000-02-02,28.4173,34.7735,28.1503,16.1245,13.6027,16.2681,4.5566,2.019,4.7768
2000-02-03,28.7568,35.5514,28.4706,16.3175,13.907,16.4536,4.61,2.065,4.83
2000-02-04,28.7151,35.8017,28.4695,16.3044,14.0048,16.453,4.6064,2.0805,4.8297
2000-02-07,28.7095,36.2745,28.4629,16.3156,14.1858,16.4492,4.614,2.1087,4.8295
2000-02-08,29.0364,36.6182,28.8011,16.5017,14.3205,16.6446,4.6672,2.1284,4.8874
2000-02-09,28.4555,36.5255,28.2039,16.1713,14.2839,16.2991,4.5736,2.1227,4.7857
2000-02-10,28.5544,36.9523,28.3041,16.2275,14.4509,16.3575,4.5906,2.148,4.8032
2000-02-11,28.0129,36.6038,27.7115,15.9197,14.3149,16.015,4.5031,2.1279,4.7026
2000-02-14,28.0528,36.8003,27.761999999999997,15.9449,14.3908,16.0463,4.5114,2.1398,4.7107
2000-02-15,28.2993,36.8153,28.0194,16.085,14.397,16.1951,4.552,2.1407,4.7544
2000-02-16,28.0842,37.3397,27.7444,15.9614,14.6016,16.0361,4.5169999999999995,2.1714,4.7078
2000-02-17,28.1002,38.0739,27.7481,15.972000000000001,14.8819,16.0382,4.5202,2.2145,4.7086
2000-02-18,27.3234,37.1959,26.9068,15.5306,14.5392,15.5519,4.3953,2.1642,4.5657
2000-02-21,27.3234,37.1959,26.9068,15.5306,14.5392,15.5519,4.3953,2.1642,4.5657
2000-02-22,27.451,36.8684,27.0383,15.6001,14.4154,15.6279,4.4157,2.1468,4.5877
2000-02-23,27.7157,37.4878,27.1759,15.7502,14.6512,15.7074,4.4575,2.1835,4.6104
2000-02-24,27.6311,37.7754,27.076,15.7021,14.7631,15.6501,4.4422,2.2008,4.5925
